stream,tag,value,n,loser_share_pct,trade_share_pct,lift,WR_inside,PF_inside,expR_inside,WR_outside,PF_outside,expR_outside,n_losers_inside
kept_583,regime_gap_fill_1000,unknown,12,2.2,2.1,1.059,41.7,0.939,-0.031,45.0,1.371,0.157,7
kept_583,regime_trend_up_dev_1000,False,560,95.3,96.1,0.992,45.4,1.402,0.168,34.8,0.663,-0.201,306
kept_583,regime_trend_up_dev_1000,True,11,2.5,1.9,1.321,27.3,0.444,-0.387,45.3,1.39,0.163,8
kept_583,regime_trend_up_dev_1000,unknown,12,2.2,2.1,1.059,41.7,0.939,-0.031,45.0,1.371,0.157,7
kept_583,regime_trend_dn_dev_1000,False,556,96.3,95.4,1.009,44.4,1.33,0.142,55.6,2.302,0.38,309
kept_583,regime_trend_dn_dev_1000,True,15,1.6,2.6,0.605,66.7,6.807,0.708,44.4,1.32,0.138,5
kept_583,regime_trend_dn_dev_1000,unknown,12,2.2,2.1,1.059,41.7,0.939,-0.031,45.0,1.371,0.157,7
kept_583,regime_range_dev_1000,False,404,68.5,69.3,0.989,45.5,1.359,0.153,43.6,1.365,0.154,220
kept_583,regime_range_dev_1000,True,167,29.3,28.6,1.022,43.7,1.402,0.167,45.4,1.345,0.148,94
kept_583,regime_range_dev_1000,unknown,12,2.2,2.1,1.059,41.7,0.939,-0.031,45.0,1.371,0.157,7
kept_583,regime_high_vol_1000,False,356,59.5,61.1,0.974,46.3,1.371,0.157,42.7,1.344,0.147,191
kept_583,regime_high_vol_1000,True,215,38.3,36.9,1.039,42.8,1.371,0.156,46.2,1.354,0.151,123
kept_583,regime_high_vol_1000,unknown,12,2.2,2.1,1.059,41.7,0.939,-0.031,45.0,1.371,0.157,7
kept_583,regime_low_vol_1000,True,171,26.5,29.3,0.903,50.3,1.557,0.23,42.7,1.282,0.121,85
kept_583,regime_low_vol_1000,False,400,71.3,68.6,1.04,42.8,1.294,0.126,49.7,1.508,0.213,229
kept_583,regime_low_vol_1000,unknown,12,2.2,2.1,1.059,41.7,0.939,-0.031,45.0,1.371,0.157,7
kept_583,regime_gap_fill_1030,False,440,75.4,75.5,0.999,45.0,1.439,0.18,44.8,1.151,0.071,242
kept_583,regime_gap_fill_1030,True,131,22.4,22.5,0.998,45.0,1.172,0.08,44.9,1.423,0.174,72
kept_583,regime_gap_fill_1030,unknown,12,2.2,2.1,1.059,41.7,0.939,-0.031,45.0,1.371,0.157,7
kept_583,compression_state,normal,68,10.6,11.7,0.908,50.0,1.489,0.219,44.3,1.343,0.144,34
kept_583,compression_state,unknown,380,65.1,65.2,0.999,45.0,1.418,0.176,44.8,1.257,0.111,209
kept_583,compression_state,expanded,75,12.1,12.9,0.944,48.0,1.432,0.174,44.5,1.351,0.15,39
kept_583,compression_state,compressed,60,12.1,10.3,1.181,35.0,0.802,-0.09,46.1,1.43,0.181,39
kept_583,trade_seq,first,530,90.7,90.9,0.997,45.1,1.39,0.165,43.4,1.085,0.038,291
kept_583,trade_seq,second,52,9.3,8.9,1.048,42.3,1.022,0.01,45.2,1.397,0.167,30
kept_583,trade_seq,third_plus,1,0.0,0.2,0.0,100.0,,1.5,44.8,1.355,0.151,0
kept_583,after_first_loss,n/a,530,90.7,90.9,0.997,45.1,1.39,0.165,43.4,1.085,0.038,291
kept_583,after_first_loss,yes,31,5.6,5.3,1.055,41.9,1.03,0.013,45.1,1.38,0.161,18
kept_583,after_first_loss,no,22,3.7,3.8,0.991,45.5,1.161,0.074,44.9,1.369,0.156,12
kept_583,month,6,45,7.5,7.7,0.969,46.7,1.151,0.073,44.8,1.381,0.16,24
kept_583,month,7,46,6.9,7.9,0.869,52.2,1.87,0.295,44.3,1.326,0.141,22
kept_583,month,8,58,11.2,9.9,1.127,37.9,1.059,0.028,45.7,1.398,0.167,36
kept_583,month,9,55,7.2,9.4,0.76,58.2,2.527,0.455,43.6,1.278,0.122,23
kept_583,month,10,42,8.1,7.2,1.124,38.1,0.966,-0.018,45.5,1.4,0.166,26
kept_583,month,11,35,6.2,6.0,1.038,42.9,1.087,0.038,45.1,1.379,0.16,20
kept_583,month,12,54,8.7,9.3,0.942,48.1,1.602,0.228,44.6,1.339,0.145,28
kept_583,month,1,52,10.6,8.9,1.188,34.6,0.89,-0.056,46.0,1.417,0.174,34
kept_583,month,2,48,8.1,8.2,0.984,45.8,1.805,0.262,44.9,1.331,0.143,26
kept_583,month,3,49,7.5,8.4,0.89,51.0,1.723,0.306,44.4,1.327,0.139,24
kept_583,month,4,48,8.4,8.2,1.022,43.8,1.289,0.138,45.0,1.368,0.154,27
kept_583,month,5,51,9.7,8.7,1.104,39.2,1.067,0.03,45.5,1.39,0.165,31
kept_583,year,2021,70,12.5,12.0,1.038,42.9,1.511,0.19,45.2,1.343,0.148,40
kept_583,year,2022,113,20.9,19.4,1.077,40.7,1.072,0.033,46.0,1.438,0.182,67
kept_583,year,2023,118,19.3,20.2,0.954,47.5,1.326,0.146,44.3,1.37,0.155,62
kept_583,year,2024,110,21.2,18.9,1.123,38.2,1.087,0.041,46.5,1.434,0.179,68
