key,achievable,missing,fill_instant,exit_instant,hold_time_min,first_surface_poll,first_tail3_poll,staleness_min,freshness_passed,pushed_out_of_tail3,direction,backtest_R,r_1mtruth,win
2021-12-17T10:10:00-05:00,True,False,2021-12-17 10:10:00-05:00,2021-12-17 10:10:00-05:00,0.0,2021-12-17 10:10:00-05:00,2021-12-17 10:10:00-05:00,0.0,True,False,long,-1.068,,False
2021-12-20T09:45:00-05:00,True,False,2021-12-20 09:45:00-05:00,2021-12-20 09:55:00-05:00,10.0,2021-12-20 09:45:00-05:00,2021-12-20 09:45:00-05:00,0.0,True,False,long,1.494,,True
2021-12-20T10:25:00-05:00,True,False,2021-12-20 10:25:00-05:00,2021-12-20 10:30:00-05:00,5.0,2021-12-20 10:25:00-05:00,2021-12-20 10:25:00-05:00,0.0,True,False,long,-0.021,,False
2021-12-28T09:55:00-05:00,True,False,2021-12-28 09:55:00-05:00,2021-12-28 10:05:00-05:00,10.0,2021-12-28 09:55:00-05:00,2021-12-28 09:55:00-05:00,0.0,True,False,short,1.493,,True
2021-12-29T09:55:00-05:00,True,False,2021-12-29 09:55:00-05:00,2021-12-29 09:55:00-05:00,0.0,2021-12-29 09:55:00-05:00,2021-12-29 09:55:00-05:00,0.0,True,False,long,1.474,,True
2021-12-31T09:40:00-05:00,True,False,2021-12-31 09:40:00-05:00,2021-12-31 09:45:00-05:00,5.0,2021-12-31 09:40:00-05:00,2021-12-31 09:40:00-05:00,0.0,True,False,long,-0.023,,False
2021-12-31T10:15:00-05:00,True,False,2021-12-31 10:15:00-05:00,2021-12-31 14:10:00-05:00,235.0,2021-12-31 10:15:00-05:00,2021-12-31 10:15:00-05:00,0.0,True,False,short,1.012,,True
2022-01-03T09:45:00-05:00,True,False,2022-01-03 09:45:00-05:00,2022-01-03 09:45:00-05:00,0.0,2022-01-03 09:45:00-05:00,2022-01-03 09:45:00-05:00,0.0,True,False,long,-1.02,,False
2022-01-03T10:00:00-05:00,True,False,2022-01-03 10:00:00-05:00,2022-01-03 13:55:00-05:00,235.0,2022-01-03 10:00:00-05:00,2022-01-03 10:00:00-05:00,0.0,True,False,short,-0.895,,False
2022-01-04T09:40:00-05:00,True,False,2022-01-04 09:40:00-05:00,2022-01-04 09:50:00-05:00,10.0,2022-01-04 09:40:00-05:00,2022-01-04 09:40:00-05:00,0.0,True,False,short,1.491,,True
2022-01-06T09:55:00-05:00,True,False,2022-01-06 09:55:00-05:00,2022-01-06 10:00:00-05:00,5.0,2022-01-06 09:55:00-05:00,2022-01-06 09:55:00-05:00,0.0,True,False,long,-1.014,,False
