rule,n,days,tpd,wr,pf,avgR,totR,maxdd,yrs_pos,ex2024,exfri,exboth,reduction,r_removed,r_kept,bleed_days_improved,gooddays_survive,denom_flag
D.first_wins_allow_1_more,1130,961,1.1758584807492196,36.01769911504425,1.0893402867136428,0.058429515420860285,66.02535242557212,-45.83774871235231,2,-0.007430743083767285,0.04866913214231798,-0.006740318211659586,30.418719211822665,1.6790010027982163,66.02535242557212,yes,no,REJECTED_DENOMINATOR_TRICK (profit from one year)
D.first_wins_allow_2_more,1176,961,1.2237252861602497,35.79931972789115,1.079025569698037,0.051862114395754076,60.98984652940679,-48.34328137654524,2,-0.016708682286019964,0.047068830671350446,-0.008755338211947374,27.586206896551722,6.714506898963549,60.98984652940679,yes,no,REJECTED_DENOMINATOR_TRICK (profit from one year)
E.stop_day+1R,1398,961,1.4547346514047867,35.1931330472103,1.0500794440655736,0.03319648062420339,46.408679912636345,-48.51999098691943,4,-0.00046480034242912333,0.009149357988448981,-0.022737928509654143,13.916256157635464,21.295673515733995,46.408679912636345,no,no,REJECTED_DENOMINATOR_TRICK (profit from one year)
E.stop_day+1.5R,1398,961,1.4547346514047867,35.1931330472103,1.0500794440655736,0.03319648062420339,46.408679912636345,-48.51999098691943,4,-0.00046480034242912333,0.009149357988448981,-0.022737928509654143,13.916256157635464,21.295673515733995,46.408679912636345,no,no,REJECTED_DENOMINATOR_TRICK (profit from one year)
E.stop_day+2R,1604,961,1.6690946930280957,35.47381546134664,1.0634543298745227,0.041870554874678716,67.16037001898466,-43.20115748723562,2,-0.004390365099453308,0.02472071177562625,-0.022503273047996118,1.2315270935960632,0.5439834093856746,67.16037001898466,no,no,REJECTED_DENOMINATOR_TRICK (profit from one year)
E.stop_after_1_win,1354,961,1.40894901144641,34.78581979320532,1.0312714539649985,0.020860771657151136,28.24548482378264,-60.43060808773516,4,-0.015334634837611244,-0.005479581887237022,-0.04000741624155063,16.625615763546797,39.4588686045877,28.24548482378264,no,no,"REJECTED_DENOMINATOR_TRICK (profit from one year,Friday-only)"
E.stop_after_2_wins,1602,961,1.6670135275754423,35.45568039950062,1.062587994287281,0.04131094695174335,66.18013701669285,-43.20115748723562,2,-0.004390365099453308,0.02319363419264501,-0.022503273047996118,1.3546798029556606,1.524216411677486,66.18013701669285,no,no,REJECTED_DENOMINATOR_TRICK (profit from one year)
F.dir_lock_first_sweep,1438,961,1.4963579604578563,35.95271210013908,1.0855793195104926,0.05606489931995195,80.6213252220909,-51.025796806434315,5,0.015678427804435045,0.04877722469928833,0.007826062998638153,11.453201970443349,-12.916971793720563,80.6213252220909,yes,no,ok
F.no_opp_after_loss,1548,961,1.6108220603537982,36.04651162790697,1.0899466063552894,0.05883885158028522,91.08254224628152,-48.49292135273896,5,0.008325770500972208,0.0491446143543983,0.0026795291254389816,4.679802955665025,-23.37818881791118,91.08254224628152,yes,yes,ok
F.no_opp_within_30min_entry,1606,961,1.6711758584807492,35.74097135740971,1.0757093761954943,0.04975909431520929,79.91310547022613,-42.218673845212884,4,-0.0005904221810318263,0.03403498899846818,-0.013891580819693316,1.1083743842364546,-12.208752041855789,79.91310547022613,no,yes,REJECTED_DENOMINATOR_TRICK (profit from one year)
F.no_opp_within_60min_entry,1555,961,1.6181061394380853,36.141479099678456,1.0941672125717747,0.06152244608482699,95.66740366190596,-41.760841948937944,5,0.011107017898267943,0.05188108976522261,0.00631394906784488,4.248768472906406,-27.963050233535625,95.66740366190596,yes,no,ok
G.cooldown_exit_5min,1482,961,1.542143600416233,34.952766531713905,1.0385649815097433,0.02566406223953981,38.034140238998,-48.01516286801356,3,-0.021143530507384968,0.0028771795896868134,-0.04097206100740978,8.743842364532018,29.67021318937234,38.034140238998,yes,no,REJECTED_DENOMINATOR_TRICK (profit from one year)
G.cooldown_exit_10min,1432,961,1.490114464099896,34.91620111731844,1.0368814732716842,0.024558823756540265,35.16823561936566,-58.09180372639414,3,-0.023716180817361533,0.00642413379806733,-0.03616355405983463,11.822660098522164,32.53611780900468,35.16823561936566,yes,no,REJECTED_DENOMINATOR_TRICK (profit from one year)
G.cooldown_exit_20min,1350,961,1.4047866805411031,35.25925925925926,1.052365178597804,0.03469184901102058,46.833996164877775,-61.06535744293805,4,-0.01749674973618073,0.01091877237062225,-0.036074878064361944,16.871921182266014,20.870357263492565,46.833996164877775,yes,no,REJECTED_DENOMINATOR_TRICK (profit from one year)
G.cooldown_exit_30min,1289,961,1.3413111342351718,35.6865787432118,1.0720299926940458,0.04740785785551798,61.10872877576268,-55.900730644853766,4,-0.0007831761941465177,0.02416122035553338,-0.014904401152717465,20.628078817733986,6.595624652607661,61.10872877576268,yes,no,REJECTED_DENOMINATOR_TRICK (profit from one year)
G.cooldown_exit_45min,1218,961,1.267429760665973,35.55008210180624,1.0654670993005884,0.04319040086912868,52.60590825859873,-50.726389547234184,4,-0.0037380783931630305,0.013552668524239623,-0.021088553336042593,25.0,15.098445169771608,52.60590825859873,yes,no,REJECTED_DENOMINATOR_TRICK (profit from one year)
G.cooldown_exit_60min,1167,961,1.2143600416233091,35.732647814910024,1.0739572112063491,0.048653028585776664,56.778084359601365,-44.33532775018621,3,-0.0029440260849975405,0.03210659537265381,-0.008900729241145372,28.14039408866995,10.926269068768974,56.778084359601365,yes,no,REJECTED_DENOMINATOR_TRICK (profit from one year)
G.cooldown_entry_10min,1602,961,1.6670135275754423,35.45568039950062,1.0624250866067586,0.041205779513495355,66.01165878061956,-48.80636101727556,3,-0.009879211089978652,0.024827994836047928,-0.02462407006779066,1.3546798029556606,1.692694647750784,66.01165878061956,yes,yes,REJECTED_DENOMINATOR_TRICK (profit from one year)
G.cooldown_entry_20min,1538,961,1.6004162330905307,34.91547464239272,1.0371518167900957,0.024733750320541703,38.04050799299314,-53.34714307542906,2,-0.02918740175643558,0.010285469557852448,-0.04026304356816484,5.295566502463056,29.663845435377198,38.04050799299314,yes,no,REJECTED_DENOMINATOR_TRICK (profit from one year)
G.cooldown_entry_30min,1463,961,1.522372528616025,34.654818865345185,1.0248918899308788,0.016642777837143363,24.348383975740738,-60.80579816860926,2,-0.036722523061652794,0.0015682285657986654,-0.04800385332490578,9.913793103448276,43.3559694526296,24.348383975740738,yes,no,REJECTED_DENOMINATOR_TRICK (profit from one year)
G.cooldown_entry_60min,1262,961,1.3132154006243497,35.8161648177496,1.077457601216457,0.05089975257708775,64.23548775228474,-51.906024872012125,4,-0.005627991410481126,0.04002874684057352,-0.0074461635741454564,22.29064039408867,3.468865676085599,64.23548775228474,yes,no,REJECTED_DENOMINATOR_TRICK (profit from one year)
