scope,feature,stamp,label,bin,is_hit,is_n,oos_hit,oos_n,monotone
single,vwap_dist_atr,1030,L2_next60m_dir,Q5,0.5139664804469274,358,0.5231481481481481,216,False
single,vwap_dist_atr,1030,L3_race_1R,Q1,0.47435897435897434,234,0.4426229508196721,122,False
single,vwap_dist_atr,1030,L3_race_1R,Q2,0.48633879781420764,183,0.43902439024390244,82,False
single,vwap_dist_atr,1030,L3_race_1R,Q3,0.4411764705882353,136,0.5571428571428572,70,False
single,vwap_dist_atr,1030,L3_race_1R,Q4,0.46835443037974683,158,0.4782608695652174,69,False
single,vwap_dist_atr,1030,L3_race_1R,Q5,0.45549738219895286,191,0.43859649122807015,114,False
single,vwap_dist_atr,1100,L1_next30m_dir,Q1,0.5264623955431755,359,0.5906735751295337,193,False
single,vwap_dist_atr,1100,L1_next30m_dir,Q2,0.5875706214689266,354,0.4764705882352941,170,False
single,vwap_dist_atr,1100,L1_next30m_dir,Q3,0.5294117647058824,357,0.46099290780141844,141,False
single,vwap_dist_atr,1100,L1_next30m_dir,Q4,0.5363128491620112,358,0.5714285714285714,175,False
single,vwap_dist_atr,1100,L1_next30m_dir,Q5,0.5614525139664804,358,0.546875,192,False
single,vwap_dist_atr,1100,L2_next60m_dir,Q1,0.5459610027855153,359,0.46632124352331605,193,False
single,vwap_dist_atr,1100,L2_next60m_dir,Q2,0.5734463276836158,354,0.5058823529411764,170,False
single,vwap_dist_atr,1100,L2_next60m_dir,Q3,0.5280898876404494,356,0.5673758865248227,141,False
single,vwap_dist_atr,1100,L2_next60m_dir,Q4,0.5307262569832403,358,0.5828571428571429,175,False
single,vwap_dist_atr,1100,L2_next60m_dir,Q5,0.5726256983240223,358,0.5260416666666666,192,False
single,vwap_dist_atr,1100,L3_race_1R,Q1,0.44933920704845814,227,0.5609756097560976,123,False
single,vwap_dist_atr,1100,L3_race_1R,Q2,0.4966887417218543,151,0.379746835443038,79,False
single,vwap_dist_atr,1100,L3_race_1R,Q3,0.4435483870967742,124,0.46296296296296297,54,False
single,vwap_dist_atr,1100,L3_race_1R,Q4,0.464,125,0.5138888888888888,72,False
single,vwap_dist_atr,1100,L3_race_1R,Q5,0.5028248587570622,177,0.4823529411764706,85,False
single,vwap_dist_atr,1300,L1_next30m_dir,Q1,0.5114942528735632,348,0.4953271028037383,214,False
single,vwap_dist_atr,1300,L1_next30m_dir,Q2,0.515850144092219,347,0.5944055944055944,143,False
single,vwap_dist_atr,1300,L1_next30m_dir,Q3,0.49698795180722893,332,0.5426356589147286,129,False
single,vwap_dist_atr,1300,L1_next30m_dir,Q4,0.4714285714285714,350,0.5402298850574713,174,False
single,vwap_dist_atr,1300,L1_next30m_dir,Q5,0.4915254237288136,354,0.5611111111111111,180,False
single,vwap_dist_atr,1300,L2_next60m_dir,Q1,0.5201149425287356,348,0.5467289719626168,214,False
single,vwap_dist_atr,1300,L2_next60m_dir,Q2,0.5446685878962536,347,0.5454545454545454,143,False
single,vwap_dist_atr,1300,L2_next60m_dir,Q3,0.525679758308157,331,0.5271317829457365,129,False
single,vwap_dist_atr,1300,L2_next60m_dir,Q4,0.52,350,0.5229885057471264,174,False
single,vwap_dist_atr,1300,L2_next60m_dir,Q5,0.5536723163841808,354,0.5388888888888889,180,False
single,vwap_dist_atr,1300,L3_race_1R,Q1,0.463855421686747,166,0.47674418604651164,86,False
single,vwap_dist_atr,1300,L3_race_1R,Q2,0.358695652173913,92,0.5,46,False
single,vwap_dist_atr,1300,L3_race_1R,Q3,0.4647887323943662,71,0.4,30,False
single,vwap_dist_atr,1300,L3_race_1R,Q4,0.4533333333333333,75,0.4318181818181818,44,False
single,vwap_dist_atr,1300,L3_race_1R,Q5,0.48484848484848486,99,0.45454545454545453,55,False
single,vwap_slope_6bar,1030,L1_next30m_dir,Q1,0.49025069637883006,359,0.4312267657992565,269,False
single,vwap_slope_6bar,1030,L1_next30m_dir,Q2,0.5083798882681564,358,0.5675675675675675,111,False
single,vwap_slope_6bar,1030,L1_next30m_dir,Q3,0.5446927374301676,358,0.5,74,False
single,vwap_slope_6bar,1030,L1_next30m_dir,Q4,0.5698324022346368,358,0.49586776859504134,121,False
single,vwap_slope_6bar,1030,L1_next30m_dir,Q5,0.5083798882681564,358,0.5637583892617449,298,False
single,vwap_slope_6bar,1030,L2_next60m_dir,Q1,0.4748603351955307,358,0.4626865671641791,268,False
single,vwap_slope_6bar,1030,L2_next60m_dir,Q2,0.5630252100840336,357,0.6,110,False
