level,side,event_type,entry_type,stop_type,exit_type,filter,n,tr_wk,wr,pf,expR,totR,maxDD_R,n_no_retest_skip,flag
pdh,upper,sweep_and_close_back_inside,next_bar_open,beyond_extreme_2tk,prior_day_mid,ny_am_only,1510,2.786,0.2642,0.6691,-0.3157,-476.723,-501.091,0,dead
pdh,upper,sweep_and_close_back_inside,next_bar_open,beyond_extreme_2tk,prior_day_mid,vwap_slope_agreement,1040,1.919,0.2635,0.643,-0.3418,-355.458,-377.806,0,dead
pdh,upper,sweep_and_close_back_inside,next_bar_open,beyond_extreme_2tk,1.5R,none,3204,5.911,0.3948,0.5795,-0.3272,-1048.4,-1055.585,0,dead
pdh,upper,sweep_and_close_back_inside,next_bar_open,beyond_extreme_2tk,1.5R,ny_am_only,1519,2.803,0.391,0.5997,-0.3125,-474.703,-475.813,0,dead
pdh,upper,sweep_and_close_back_inside,next_bar_open,beyond_extreme_2tk,1.5R,vwap_slope_agreement,1048,1.934,0.4017,0.5973,-0.3093,-324.183,-334.1,0,dead
pdh,upper,sweep_and_close_back_inside,next_bar_open,beyond_extreme_2tk,2R,none,3204,5.911,0.3418,0.6313,-0.312,-999.783,-1019.513,0,dead
pdh,upper,sweep_and_close_back_inside,next_bar_open,beyond_extreme_2tk,2R,ny_am_only,1519,2.803,0.3318,0.6421,-0.3054,-463.867,-466.839,0,dead
pdh,upper,sweep_and_close_back_inside,next_bar_open,beyond_extreme_2tk,2R,vwap_slope_agreement,1048,1.934,0.3473,0.6568,-0.2873,-301.115,-318.223,0,dead
pdh,upper,sweep_and_close_back_inside,next_bar_open,1.0xATR,vwap,none,1453,2.681,0.3606,0.5191,-0.3342,-485.552,-484.325,0,dead
pdh,upper,sweep_and_close_back_inside,next_bar_open,1.0xATR,vwap,ny_am_only,531,0.98,0.3898,0.436,-0.314,-166.727,-166.25,0,dead
pdh,upper,sweep_and_close_back_inside,next_bar_open,1.0xATR,vwap,vwap_slope_agreement,94,0.173,0.4362,0.3471,-0.2396,-22.523,-23.259,0,sub_floor
pdh,upper,sweep_and_close_back_inside,next_bar_open,1.0xATR,prior_day_mid,none,3187,5.88,0.2664,0.6737,-0.3045,-970.553,-972.401,0,dead
pdh,upper,sweep_and_close_back_inside,next_bar_open,1.0xATR,prior_day_mid,ny_am_only,1510,2.786,0.2808,0.7036,-0.262,-395.632,-435.371,0,dead
pdh,upper,sweep_and_close_back_inside,next_bar_open,1.0xATR,prior_day_mid,vwap_slope_agreement,1040,1.919,0.2635,0.6062,-0.3711,-385.945,-389.732,0,dead
pdh,upper,sweep_and_close_back_inside,next_bar_open,1.0xATR,1.5R,none,3204,5.911,0.3945,0.6078,-0.303,-970.791,-975.153,0,dead
pdh,upper,sweep_and_close_back_inside,next_bar_open,1.0xATR,1.5R,ny_am_only,1519,2.803,0.3845,0.6356,-0.2779,-422.193,-425.447,0,dead
pdh,upper,sweep_and_close_back_inside,next_bar_open,1.0xATR,1.5R,vwap_slope_agreement,1048,1.934,0.4017,0.6199,-0.292,-306.043,-316.83,0,dead
pdh,upper,sweep_and_close_back_inside,next_bar_open,1.0xATR,2R,none,3204,5.911,0.3408,0.6661,-0.281,-900.216,-909.272,0,dead
pdh,upper,sweep_and_close_back_inside,next_bar_open,1.0xATR,2R,ny_am_only,1519,2.803,0.3246,0.6778,-0.269,-408.618,-412.872,0,dead
pdh,upper,sweep_and_close_back_inside,next_bar_open,1.0xATR,2R,vwap_slope_agreement,1048,1.934,0.3464,0.674,-0.2746,-287.748,-304.157,0,dead
pdh,upper,sweep_and_close_back_inside,retest_limit,beyond_extreme_2tk,vwap,none,1573,2.902,0.3007,0.5203,-0.4248,-668.242,-671.535,553,dead
