model,confirm,entry,filter,bucket,stop,exit,n,tr_wk,wr,pf,expR,totR,maxDD_R,flag,mirage
fill,conf15,next_open,on_range_pctile,0.75-1.25,open_buffer,1.5R,21,0.039,0.6667,2.1999,0.4531,9.516,-3.272,sub_floor,False
fill,conf15,next_open,on_range_pctile,0.75-1.25,open_buffer,2R,21,0.039,0.619,2.1493,0.4979,10.455,-3.272,sub_floor,False
fill,conf15,next_open,on_range_pctile,0.75-1.25,atr1.0,prior_close,21,0.039,0.5714,0.983,-0.0038,-0.081,-2.355,sub_floor,False
fill,conf15,next_open,on_range_pctile,0.75-1.25,atr1.0,half_gap,21,0.039,0.7619,1.4318,0.0547,1.148,-1.021,sub_floor,False
fill,conf15,next_open,on_range_pctile,0.75-1.25,atr1.0,1.5R,21,0.039,0.5238,0.6933,-0.0718,-1.508,-2.585,sub_floor,False
fill,conf15,next_open,on_range_pctile,0.75-1.25,atr1.0,2R,21,0.039,0.5238,0.6933,-0.0718,-1.508,-2.585,sub_floor,False
fill,conf15,next_open,on_range_pctile,0.75-1.25,atr1.5,prior_close,21,0.039,0.5714,0.9094,-0.0147,-0.309,-1.904,sub_floor,False
fill,conf15,next_open,on_range_pctile,0.75-1.25,atr1.5,half_gap,21,0.039,0.7619,1.4974,0.0402,0.843,-0.603,sub_floor,False
fill,conf15,next_open,on_range_pctile,0.75-1.25,atr1.5,1.5R,21,0.039,0.5238,0.6431,-0.0601,-1.261,-1.979,sub_floor,False
fill,conf15,next_open,on_range_pctile,0.75-1.25,atr1.5,2R,21,0.039,0.5238,0.6431,-0.0601,-1.261,-1.979,sub_floor,False
fill,conf15,next_open,on_range_pctile,>1.25,open_buffer,prior_close,4,0.007,0.25,1.0036,0.0029,0.012,-1.079,sub_floor,True
fill,conf15,next_open,on_range_pctile,>1.25,open_buffer,half_gap,4,0.007,0.25,0.6194,-0.3056,-1.223,-1.079,sub_floor,True
fill,conf15,next_open,on_range_pctile,>1.25,open_buffer,1.5R,4,0.007,0.25,0.4525,-0.4398,-1.759,-1.079,sub_floor,True
fill,conf15,next_open,on_range_pctile,>1.25,open_buffer,2R,4,0.007,0.25,0.6081,-0.3148,-1.259,-1.079,sub_floor,True
fill,conf15,next_open,on_range_pctile,>1.25,atr1.0,prior_close,4,0.007,0.5,0.618,-0.1957,-0.783,-1.013,sub_floor,True
fill,conf15,next_open,on_range_pctile,>1.25,atr1.0,half_gap,4,0.007,0.5,0.3836,-0.3157,-1.263,-1.013,sub_floor,True
fill,conf15,next_open,on_range_pctile,>1.25,atr1.0,1.5R,4,0.007,0.5,0.729,-0.1388,-0.555,-1.013,sub_floor,True
fill,conf15,next_open,on_range_pctile,>1.25,atr1.0,2R,4,0.007,0.5,0.618,-0.1957,-0.783,-1.013,sub_floor,True
fill,conf15,next_open,on_range_pctile,>1.25,atr1.5,prior_close,4,0.007,0.5,0.6358,-0.1208,-0.483,-0.686,sub_floor,True
fill,conf15,next_open,on_range_pctile,>1.25,atr1.5,half_gap,4,0.007,0.5,0.3947,-0.2009,-0.803,-0.686,sub_floor,True
fill,conf15,next_open,on_range_pctile,>1.25,atr1.5,1.5R,4,0.007,0.5,0.6358,-0.1208,-0.483,-0.686,sub_floor,True
fill,conf15,next_open,on_range_pctile,>1.25,atr1.5,2R,4,0.007,0.5,0.6358,-0.1208,-0.483,-0.686,sub_floor,True
fill,conf15,next_open,first15m_strength,0.25-0.75,open_buffer,prior_close,187,0.345,0.6043,0.9931,-0.002,-0.367,-10.248,dead,False
fill,conf15,next_open,first15m_strength,0.25-0.75,open_buffer,half_gap,187,0.345,0.2727,0.1946,-0.1733,-32.409,-32.245,dead,True
fill,conf15,next_open,first15m_strength,0.25-0.75,open_buffer,1.5R,187,0.345,0.5241,1.3086,0.1396,26.104,-9.312,live_candidate,False
fill,conf15,next_open,first15m_strength,0.25-0.75,open_buffer,2R,187,0.345,0.5027,1.3204,0.15,28.043,-8.751,live_candidate,False
fill,conf15,next_open,first15m_strength,0.25-0.75,atr1.0,prior_close,187,0.345,0.6471,0.7932,-0.0295,-5.512,-7.156,dead,False
fill,conf15,next_open,first15m_strength,0.25-0.75,atr1.0,half_gap,187,0.345,0.2834,0.1632,-0.08,-14.969,-14.912,dead,True
fill,conf15,next_open,first15m_strength,0.25-0.75,atr1.0,1.5R,187,0.345,0.5615,1.329,0.0792,14.802,-6.247,live_candidate,False
fill,conf15,next_open,first15m_strength,0.25-0.75,atr1.0,2R,187,0.345,0.5615,1.3134,0.0754,14.099,-6.247,live_candidate,False
fill,conf15,next_open,first15m_strength,0.25-0.75,atr1.5,prior_close,187,0.345,0.6471,0.7858,-0.0205,-3.842,-4.949,dead,False
fill,conf15,next_open,first15m_strength,0.25-0.75,atr1.5,half_gap,187,0.345,0.2834,0.1618,-0.0539,-10.087,-10.049,dead,True
fill,conf15,next_open,first15m_strength,0.25-0.75,atr1.5,1.5R,187,0.345,0.5615,1.3464,0.0553,10.35,-4.652,live_candidate,False
