stage,or_def,breakout,entry,stop,exit,filt,n_events,n_retest_missed,n,tr_per_wk,wr,pf,exp_r,tot_r,maxdd_r,n_long,n_short
A-coarse,15m,close_outside,immediate,atr_1.5,1.5R,none,2635,0,2621,4.839620152993933,0.48187714612743227,0.9438222366064873,-0.00802971977806033,-21.04589553829613,-51.49033388028064,1372,1249
A-coarse,15m,close_outside,retest,opposite_or_side,1.5R,none,2635,540,2081,3.842521762068056,0.4142239308024988,0.7935289065295339,-0.12906986389190664,-268.5943867590577,-280.0133058510751,1067,1014
A-coarse,15m,close_outside,retest,inside_range_0.5atr,1.5R,none,2635,540,2081,3.842521762068056,0.46179721287842385,0.9197021448241723,-0.031259965978929286,-65.05198920215184,-95.87064967685203,1067,1014
A-coarse,15m,close_outside,retest,atr_1.5,1.5R,none,2635,540,2081,3.842521762068056,0.4776549735703988,0.9213541731325615,-0.010990023742305895,-22.87023940773857,-42.623103164100144,1067,1014
A-coarse,15m,two_closes_outside,immediate,opposite_or_side,1.5R,none,2623,0,2609,4.817462410973358,0.4411651973936374,0.8875337743954366,-0.05914998255055406,-154.32230447439554,-202.81143632900515,1408,1201
A-coarse,15m,two_closes_outside,immediate,inside_range_0.5atr,1.5R,none,2623,0,2609,4.817462410973358,0.46991184361824456,0.9447003881268897,-0.021000613346678087,-54.790600221483125,-115.12608120683274,1408,1201
A-coarse,15m,two_closes_outside,immediate,atr_1.5,1.5R,none,2623,0,2609,4.817462410973358,0.48600996550402453,0.9493406853912766,-0.006981807010784074,-18.21553449113565,-45.55418196268343,1408,1201
A-coarse,15m,two_closes_outside,retest,opposite_or_side,1.5R,none,2623,877,1732,3.198100764969665,0.41628175519630484,0.7971861095038221,-0.12496439576288575,-216.4383334613181,-233.056707749227,918,814
A-coarse,15m,two_closes_outside,retest,inside_range_0.5atr,1.5R,none,2623,877,1732,3.198100764969665,0.4607390300230947,0.9146022288388823,-0.03170609585772859,-54.914958025585925,-88.96318017667237,918,814
A-coarse,15m,two_closes_outside,retest,atr_1.5,1.5R,none,2623,877,1732,3.198100764969665,0.4797921478060046,0.9563253445149799,-0.005651677333941736,-9.788705142387087,-28.149460974801237,918,814
A-coarse,15m,body_ratio,immediate,opposite_or_side,1.5R,none,2631,0,2617,4.832234238987075,0.44172716851356514,0.8812577724904056,-0.06403185499877352,-167.57136453179032,-200.02229227817566,1378,1239
A-coarse,15m,body_ratio,immediate,inside_range_0.5atr,1.5R,none,2631,0,2617,4.832234238987075,0.4715322888803974,0.9428714917825914,-0.021919547792596413,-57.36345657322481,-119.38276976123481,1378,1239
A-coarse,15m,body_ratio,immediate,atr_1.5,1.5R,none,2631,0,2617,4.832234238987075,0.48834543370271305,0.9429877887264413,-0.007912947282102584,-20.70818303726246,-47.61206948724867,1378,1239
A-coarse,15m,body_ratio,retest,opposite_or_side,1.5R,none,2631,778,1839,3.3956739646531258,0.4110929853181077,0.7842286226702162,-0.1336249482218528,-245.7362797799873,-247.04991071279773,929,910
A-coarse,15m,body_ratio,retest,inside_range_0.5atr,1.5R,none,2631,778,1839,3.3956739646531258,0.45568243610657966,0.8794751488754041,-0.04603775939398426,-84.66343952553706,-114.44188755947643,929,910
A-coarse,15m,body_ratio,retest,atr_1.5,1.5R,none,2631,778,1839,3.3956739646531258,0.4730831973898858,0.8932968297620116,-0.014481572171251515,-26.631611222931536,-45.69052829463107,929,910
