compression_def,breakout,entry,stop,exit,n_events,flags,n,tr_per_wk,wr,pf,exp_r,tot_r,maxdd_r,n_long,n_short
prior_day_range_pctile<30,break_retest,retest,atr_1.0,range_projection_1.0x,609,,609,1.1245054075441836,0.6469622331691297,0.7494699317302066,-0.036560190969877816,-22.26515630065559,-25.754772149778674,314,295
prior_day_range_pctile<30,break_retest,retest,atr_1.0,1.5R,609,,609,1.1245054075441836,0.49917898193760263,0.8555451902196846,-0.027566164569381373,-16.787794222753256,-25.941412584218764,314,295
prior_day_range_pctile<30,break_retest,retest,atr_1.0,trail_3.5xATR,609,,609,1.1245054075441836,0.4154351395730706,0.8714007304044048,-0.017208702151051886,-10.480099609990598,-19.75704255787932,314,295
prior_day_range_pctile<30,second_break,immediate,opposite_compression_side,range_projection_1.0x,418,,417,0.7699815352149829,0.513189448441247,0.6889782303538872,-0.1512413724286364,-63.06765230274137,-66.35748635531799,215,202
prior_day_range_pctile<30,second_break,immediate,opposite_compression_side,1.5R,418,,417,0.7699815352149829,0.43884892086330934,0.84079218965607,-0.08754730495007024,-36.507226164179286,-50.000774009697366,215,202
prior_day_range_pctile<30,second_break,immediate,opposite_compression_side,trail_3.5xATR,418,,417,0.7699815352149829,0.38369304556354916,0.8618888392727035,-0.06655121646903146,-27.751857267586118,-46.49920468096879,215,202
prior_day_range_pctile<30,second_break,immediate,atr_1.0,range_projection_1.0x,418,,417,0.7699815352149829,0.6426858513189448,0.781043791858433,-0.028812084631542435,-12.014639291353195,-15.394547001919628,215,202
prior_day_range_pctile<30,second_break,immediate,atr_1.0,1.5R,418,,417,0.7699815352149829,0.5059952038369304,0.9008421336423875,-0.016961186410987407,-7.072814733381748,-14.613655840166137,215,202
prior_day_range_pctile<30,second_break,immediate,atr_1.0,trail_3.5xATR,418,,417,0.7699815352149829,0.41007194244604317,0.8475388755646851,-0.018787526339968684,-7.834398483766941,-12.213005116515587,215,202
prior_day_range_pctile<30,second_break,retest,opposite_compression_side,range_projection_1.0x,418,,337,0.6222632550778159,0.49554896142433236,0.7252412541571015,-0.14473736200849352,-48.776490996862314,-50.39219395016152,175,162
prior_day_range_pctile<30,second_break,retest,opposite_compression_side,1.5R,418,,337,0.6222632550778159,0.43026706231454004,0.7825409763083586,-0.12921935424494443,-43.54692238054628,-44.05288659525802,175,162
prior_day_range_pctile<30,second_break,retest,opposite_compression_side,trail_3.5xATR,418,,337,0.6222632550778159,0.3857566765578635,0.8717584167309713,-0.06715131823378886,-22.629994244786847,-36.62222536420228,175,162
prior_day_range_pctile<30,second_break,retest,atr_1.0,range_projection_1.0x,418,,337,0.6222632550778159,0.6350148367952523,0.7713978110785695,-0.03042627564312731,-10.253654891733904,-11.99045927350724,175,162
prior_day_range_pctile<30,second_break,retest,atr_1.0,1.5R,418,,337,0.6222632550778159,0.5192878338278932,0.9545136694359574,-0.007439484242479446,-2.5071061897155733,-9.647035521863529,175,162
prior_day_range_pctile<30,second_break,retest,atr_1.0,trail_3.5xATR,418,,337,0.6222632550778159,0.42729970326409494,0.8829802519040736,-0.01352217062169556,-4.556971499511404,-7.916849132483573,175,162
