failure_def,timing,entry,stop,exit,filt,n_events_raw,n_no_fill,flags,n,tr_per_wk,wr,pf,exp_r,tot_r,maxdd_r,n_long,n_short
OR30_break_reclaim,le10bars,next_bar_open_after_reclaim,atr_1.0,1.5R,none,7304,123,,2147,3.9643893431812187,0.4541220307405682,0.7954256324129255,-0.04098698640580285,-87.99905981325873,-91.06791379333441,1008,1139
OR30_break_reclaim,le10bars,next_bar_open_after_reclaim,atr_1.0,1.5R,flat_vwap_slope_only,7304,123,,1559,2.8786599841730416,0.4644002565747274,0.8389591702625632,-0.024914051223657238,-38.84100585768164,-42.55227599706861,715,844
OR30_break_reclaim,le10bars,failed_level_retest,beyond_extreme_2tick,vwap_target,none,7304,1386,,5867,10.833289369559484,0.17061530594852564,0.3041215457644733,-1.9805326332392776,-11619.784959214841,-11647.606229038582,2807,3060
OR30_break_reclaim,le10bars,failed_level_retest,beyond_extreme_2tick,vwap_target,flat_vwap_slope_only,7304,1386,,3383,6.246636771300449,0.16908069760567543,0.21396889609539865,-2.1302883091182414,-7206.76534974701,-7208.671563868075,1587,1796
OR30_break_reclaim,le10bars,failed_level_retest,beyond_extreme_2tick,or_midpoint,none,7304,1386,,5827,10.7594302294909,0.1070876952119444,0.3284935740280648,-1.7946823408271837,-10457.614,-10465.670000000002,2791,3036
OR30_break_reclaim,le10bars,failed_level_retest,beyond_extreme_2tick,or_midpoint,flat_vwap_slope_only,7304,1386,,3344,6.17462410973358,0.12739234449760767,0.30106062649488124,-1.8225412679425854,-6094.578000000006,-6091.578000000006,1571,1773
OR30_break_reclaim,le10bars,failed_level_retest,beyond_extreme_2tick,1.5R,none,7304,1386,,5888,10.87206541809549,0.0,0.0,-1.414685122282609,-8329.666000000001,-8326.666000000001,2815,3073
OR30_break_reclaim,le10bars,failed_level_retest,beyond_extreme_2tick,1.5R,flat_vwap_slope_only,7304,1386,,3404,6.285412819836455,0.0,0.0,-1.3536034077555816,-4607.666,-4607.166,1595,1809
OR30_break_reclaim,le10bars,failed_level_retest,atr_1.0,vwap_target,none,7304,1386,,4377,8.082036402004748,0.5336988805117661,0.4938127069263661,-0.04008014156947195,-175.4307796495787,-176.2891575226351,2128,2249
OR30_break_reclaim,le10bars,failed_level_retest,atr_1.0,vwap_target,flat_vwap_slope_only,7304,1386,,2778,5.1295172777631235,0.4348452123830094,0.36532346573453967,-0.04046507097566764,-112.41196717040471,-112.56507905786775,1337,1441
