level,side,event_type,window,entry_type,stop_type,exit_type,filter,n,tr_wk,wr,pf,expR,totR,maxDD_R,n_no_retest_skip,flag
on_hi,upper,break_and_retest,full_rth,next_bar_open,beyond_extreme_2tk,2R,none,1922,3.546,0.3403,0.4186,-0.6337,-1217.963,-1226.09,0,dead
on_hi,upper,break_and_retest,full_rth,next_bar_open,beyond_extreme_2tk,2R,vwap_slope_agreement,1256,2.317,0.3352,0.3923,-0.6784,-852.048,-859.062,0,dead
on_hi,upper,break_and_retest,full_rth,next_bar_open,1.0xATR,vwap,none,463,0.854,0.3434,0.3736,-0.3977,-184.128,-185.032,0,dead
on_hi,upper,break_and_retest,full_rth,next_bar_open,1.0xATR,vwap,vwap_slope_agreement,94,0.173,0.2447,0.0906,-0.5489,-51.599,-51.898,0,sub_floor
on_hi,upper,break_and_retest,full_rth,next_bar_open,1.0xATR,prior_day_mid,none,384,0.708,0.3464,0.6016,-0.3191,-122.525,-131.368,0,dead
on_hi,upper,break_and_retest,full_rth,next_bar_open,1.0xATR,prior_day_mid,vwap_slope_agreement,249,0.459,0.3454,0.499,-0.4237,-105.495,-111.307,0,dead
on_hi,upper,break_and_retest,full_rth,next_bar_open,1.0xATR,1.5R,none,1922,3.546,0.4126,0.5421,-0.3746,-719.918,-741.027,0,dead
on_hi,upper,break_and_retest,full_rth,next_bar_open,1.0xATR,1.5R,vwap_slope_agreement,1256,2.317,0.4188,0.528,-0.391,-491.036,-512.539,0,dead
on_hi,upper,break_and_retest,full_rth,next_bar_open,1.0xATR,2R,none,1922,3.546,0.3543,0.5966,-0.3639,-699.334,-731.851,0,dead
on_hi,upper,break_and_retest,full_rth,next_bar_open,1.0xATR,2R,vwap_slope_agreement,1256,2.317,0.3559,0.5731,-0.3939,-494.752,-526.294,0,dead
on_hi,upper,break_and_retest,full_rth,retest_limit,beyond_extreme_2tk,vwap,none,506,0.934,0.2846,0.5476,-0.4637,-234.625,-255.198,267,dead
on_hi,upper,break_and_retest,full_rth,retest_limit,beyond_extreme_2tk,vwap,vwap_slope_agreement,110,0.203,0.2727,0.2491,-0.6935,-76.286,-83.336,178,sub_floor
on_hi,upper,break_and_retest,full_rth,retest_limit,beyond_extreme_2tk,prior_day_mid,none,380,0.701,0.2132,0.5916,-0.5707,-216.855,-265.921,267,dead
on_hi,upper,break_and_retest,full_rth,retest_limit,beyond_extreme_2tk,prior_day_mid,vwap_slope_agreement,241,0.445,0.1826,0.4696,-0.7938,-191.3,-211.21,178,dead
on_hi,upper,break_and_retest,full_rth,retest_limit,beyond_extreme_2tk,1.5R,none,1680,3.1,0.4482,0.3273,-0.6014,-1010.41,-1014.643,267,dead
on_hi,upper,break_and_retest,full_rth,retest_limit,beyond_extreme_2tk,1.5R,vwap_slope_agreement,1093,2.017,0.4282,0.2988,-0.6573,-718.407,-725.324,178,dead
