band_k,stop_atr,tgt,gate,thr,n,pf,wr,net,n_is,pf_is,net_is,n_oos,pf_oos,net_oos
2.5,1.0,vwap,off,,1908,0.8545726710642835,0.2489517819706499,-6311.878481133381,1282,0.8816577722117382,-3059.8016970875415,626,0.814662157718903,-3252.0767840458393
2.5,1.0,vwap,adx,20.0,933,0.8426691094319948,0.2529474812433012,-2856.4406500687383,622,0.8119066873138651,-2117.5242849381157,311,0.8928762945476422,-738.9163651306226
2.5,1.0,vwap,atrpct,0.4,779,0.9112494431982037,0.25802310654685495,-1368.2895218524955,533,0.906603757095415,-915.126408200058,246,0.9193506185580103,-453.16311365243746
2.5,1.0,vwap,vcross,3.0,1356,0.8986521516934685,0.25442477876106195,-2911.2223719541416,926,0.9239836790813082,-1322.7138475398879,430,0.8597301442849941,-1588.5085244142538
2.5,1.0,vwap,orange,6.0,1893,0.8408984616867818,0.24564183835182252,-6873.166567438737,1275,0.8657357314533531,-3467.600107382219,618,0.8039758271278263,-3405.566460056518
2.5,1.0,half,off,,1972,0.8872597289600359,0.3813387423935091,-4144.517579588644,1327,0.8773293411567727,-2705.0917484087386,645,0.902146323686813,-1439.4258311799058
2.5,1.0,half,adx,20.0,981,0.9003055897262762,0.3924566768603466,-1549.5324163112273,653,0.8296311676078305,-1651.1356237298714,328,1.0173642533248006,101.60320741864416
2.5,1.0,half,atrpct,0.4,808,0.9338622120333356,0.3935643564356436,-864.3972680857441,556,0.858183355954166,-1213.5959314222237,252,1.077390870456082,349.1986633364795
2.5,1.0,half,vcross,3.0,1400,0.8969921585368393,0.3792857142857143,-2525.156298736809,956,0.8486984474686412,-2284.7128831191585,444,0.9744584685993839,-240.44341561765032
2.5,1.0,half,orange,6.0,1957,0.8816325395208426,0.37915176290240166,-4327.423465817987,1320,0.8686503572197163,-2892.687382127502,637,0.9013006477732457,-1434.7360836904845
2.5,1.5,vwap,off,,1815,0.8537062550367189,0.32947658402203855,-7742.827648546463,1227,0.8790680592817816,-3834.762637669417,588,0.8158005959741434,-3908.065010877046
2.5,1.5,vwap,adx,20.0,851,0.8403088051346654,0.3337250293772033,-3398.99714060961,565,0.8489660249321368,-1938.7031198766872,286,0.8271556487311016,-1460.294020732923
2.5,1.5,vwap,atrpct,0.4,742,0.9304190085739419,0.34097035040431267,-1298.0917933852052,509,0.9278338600217139,-870.3378236299122,233,0.9351459775763857,-427.7539697552929
2.5,1.5,vwap,vcross,3.0,1283,0.8733039984705093,0.33593141075604055,-4476.125616679234,881,0.907154083960098,-1976.6771177686169,402,0.8219738855154041,-2499.4484989106168
2.5,1.5,vwap,orange,6.0,1800,0.847071230160133,0.32722222222222225,-8044.40694135726,1220,0.866460082967983,-4228.882476535526,580,0.817742135085474,-3815.524464821734
2.5,1.5,half,off,,1924,0.8740512449069979,0.4677754677754678,-5630.633557998977,1298,0.8914844616249114,-2869.503510137065,626,0.8488087585017433,-2761.1300478619123
2.5,1.5,half,adx,20.0,922,0.8836064231470868,0.48156182212581344,-2114.5241891436,610,0.85738925085719,-1569.088773856629,312,0.9238688627304564,-545.435415286971
2.5,1.5,half,atrpct,0.4,791,0.9158052313164147,0.47914032869785084,-1340.7047169543093,547,0.8800710989178064,-1241.758832917667,244,0.9822350446817792,-98.94588403664238
2.5,1.5,half,vcross,3.0,1352,0.8451101149940834,0.46153846153846156,-4672.079130082842,927,0.8460227786814146,-2808.3190502054968,425,0.8437142931346195,-1863.7600798773456
2.5,1.5,half,orange,6.0,1909,0.8709693975082345,0.46621267679413303,-5733.60961261884,1291,0.884722036703602,-3043.4205724272597,618,0.8508378284778056,-2690.1890401915807
2.5,2.0,vwap,off,,1711,0.9021191911644573,0.39918176504967856,-5560.510869138341,1155,0.9023572336935362,-3358.3532022777417,556,0.9017539265149539,-2202.1576668605994
2.5,2.0,vwap,adx,20.0,786,0.8133238819021276,0.3969465648854962,-4327.732446875634,523,0.8148083199958492,-2630.250975144667,263,0.8109761452374974,-1697.4814717309673
2.5,2.0,vwap,atrpct,0.4,702,0.9603566466119635,0.4202279202279202,-779.0683491135951,480,0.9675516157475602,-410.37123902800704,222,0.9473668479186073,-368.69711008558806
