idx,detector,c,p,W,trig_tk,E,exit_mode,Rmult,trail_atr,n,pf,wr,net,expR,is_n,is_pf,oos_n,oos_pf,minyr_pf
59,ratio,1.5,,4,4,4,trail,2.0,3.0,2729,0.9964172182860086,33.821912788567246,-255.50000000002365,0.004770115823421477,1828,1.1203514732831519,901,0.8274274506508175,0.7945006750779826
60,ratio,1.5,,4,4,8,R,1.5,2.0,2841,0.9339670431619715,39.528335093277015,-5605.125,-0.04861621113881529,1924,1.0175650905850304,917,0.81773220408192,0.7618653120844143
61,ratio,1.5,,4,4,8,R,2.0,2.0,2567,0.9605236238476905,35.25516166731593,-3280.25,-0.03266443206743448,1732,1.0487031715264172,835,0.8392725713673229,0.792946769111713
62,ratio,1.5,,4,4,8,trail,2.0,2.0,3183,0.9127804486971464,34.99842915488533,-5999.107142857107,-0.02695490174935749,2144,0.9568063856902368,1039,0.8483568657596481,0.8143386113497807
63,ratio,1.5,,4,4,8,trail,2.0,3.0,2719,1.0072014428985252,33.983082015446854,512.4285714285543,0.016897693266955536,1821,1.1371001526208013,898,0.8296602161164955,0.8054817008975567
64,ratio,1.5,,6,1,4,R,1.5,2.0,1704,0.9907610243662446,40.66901408450704,-446.0,-0.02690175444638135,1127,0.9995685328355317,577,0.978184058645274,0.8734392022123523
65,ratio,1.5,,6,1,4,R,2.0,2.0,1614,1.0378267272057922,36.74101610904585,1849.5,-0.007195668563301066,1072,1.0429956831296012,542,1.0303564507457834,0.9562809405940594
66,ratio,1.5,,6,1,4,trail,2.0,2.0,1878,0.9568838605942599,35.94249201277955,-1633.8214285714075,-0.004227390192864353,1228,1.002320170525218,650,0.8942232446964752,0.8612567559381572
67,ratio,1.5,,6,1,4,trail,2.0,3.0,1662,1.090811459644072,36.40192539109506,3720.5892857142444,0.0812201442732314,1099,1.1604425109659162,563,0.9944591804823499,0.9559081586682486
68,ratio,1.5,,6,1,8,R,1.5,2.0,1709,1.003325097796994,41.07665301345816,161.5,-0.019858612657966273,1130,1.0223971371152558,579,0.9765551541545009,0.9001598452025407
69,ratio,1.5,,6,1,8,R,2.0,2.0,1617,1.054633351992265,37.22943722943723,2684.0,0.0023681117035908835,1074,1.069193179455188,543,1.0339112634720202,0.9880718801582111
70,ratio,1.5,,6,1,8,trail,2.0,2.0,1883,0.976036360712648,36.006372809346786,-904.7857142856919,0.002525591271647212,1230,1.0228450171411205,653,0.9117661583216985,0.8671797747081902
71,ratio,1.5,,6,1,8,trail,2.0,3.0,1667,1.1123617717546006,36.53269346130774,4618.124999999964,0.08870517901371372,1102,1.1801092548602508,565,1.019094086729345,0.9567352599847138
72,ratio,1.5,,6,4,4,R,1.5,2.0,1700,0.9777459563582254,40.23529411764706,-1091.75,-0.03396523906438444,1125,1.0010424177141517,575,0.9446848379501215,0.8794176207068193
73,ratio,1.5,,6,4,4,R,2.0,2.0,1613,1.019990317505144,36.577805331680096,991.0,-0.017402521958247607,1070,1.0243627224701235,543,1.0136999778635905,0.9629114940398987
74,ratio,1.5,,6,4,4,trail,2.0,2.0,1880,0.930449946584554,35.47872340425532,-2687.8214285714075,-0.0167271631031984,1230,0.9717833944202843,650,0.8730932769048475,0.8525464435731813
75,ratio,1.5,,6,4,4,trail,2.0,3.0,1662,1.0668183181360076,36.28158844765343,2781.0535714285325,0.06595212345224491,1098,1.1360539595628223,564,0.9708364218639285,0.9409662002864025
76,ratio,1.5,,6,4,8,R,1.5,2.0,1703,0.9889506538479064,40.57545507927187,-545.625,-0.028685979339909306,1127,1.0175820553743669,576,0.9488113333738676,0.9057901637979479
77,ratio,1.5,,6,4,8,R,2.0,2.0,1612,1.0327715919349985,36.972704714640194,1633.5,-0.0117398823012684,1070,1.0445827739822662,542,1.0160137815574615,0.9720892895736206
78,ratio,1.5,,6,4,8,trail,2.0,2.0,1887,0.95192685502816,35.6120826709062,-1848.3214285714075,-0.008256941210256049,1233,0.9952306903074809,654,0.8922668834080224,0.8564772452027877
79,ratio,1.5,,6,4,8,trail,2.0,3.0,1669,1.0870711791784164,36.369083283403235,3636.053571428536,0.073053073228739,1103,1.150524032050105,566,0.9994226269151565,0.9437343379864459
80,ratio,1.5,,12,1,4,R,1.5,2.0,15,0.3003992015968064,26.666666666666668,-438.125,-0.3581219706516234,7,0.2931854199683043,8,0.3077232502011263,0.0
81,ratio,1.5,,12,1,4,R,2.0,2.0,15,0.3900199600798403,26.666666666666668,-382.0,-0.29145530398495667,7,0.38827258320126784,8,0.3917940466613033,0.0
82,ratio,1.5,,12,1,4,trail,2.0,2.0,15,0.4677843523997576,26.666666666666668,-115.64285714285143,-0.12432424715420652,7,0.21899927483683734,8,0.996404725218389,0.0
83,ratio,1.5,,12,1,4,trail,2.0,3.0,15,0.1684518949036873,26.666666666666668,-309.14285714286234,-0.32582356459717604,7,0.06455274708642394,8,0.3489809335963002,0.0
84,ratio,1.5,,12,1,8,R,1.5,2.0,18,0.5722554890219561,38.88888888888889,-267.875,-0.15126204761747436,9,0.6299524564183835,9,0.5136765888978279,0.0
85,ratio,1.5,,12,1,8,R,2.0,2.0,18,0.6822355289421158,38.88888888888889,-199.0,-0.06792871428414103,9,0.7654516640253566,9,0.5977473853580049,0.0
86,ratio,1.5,,12,1,8,trail,2.0,2.0,18,0.5814103390486222,27.77777777777778,-115.96428571427896,-0.14370237238300035,9,0.15998587321207824,9,1.7211079274118035,0.0
87,ratio,1.5,,12,1,8,trail,2.0,3.0,18,0.574427205917664,38.88888888888889,-158.21428571428987,-0.12019752383594742,9,0.5571363705161236,9,0.6044707429322538,0.0
88,ratio,1.5,,12,4,4,R,1.5,2.0,15,0.2976753349093775,26.666666666666668,-445.625,-0.36498947988469094,7,0.2909162098668755,8,0.3045202220459952,0.0
