range_tf,sig_tf,session,model,status,gate,canary_pass,overlap_ny_pct,lookback,exit_type,n,tr_wk,win_pct,PF,expR,totR,maxDD_R,med_stop_pts,per_year
15m,5m,pre_ny,W1+W11,REJECTED,PF 0.88 < 1.15,,,40.0,fixed2r,405,0.6261,37.0,0.88,-0.089,-36.0,-49.5,9.76,null
15m,5m,pre_ny,W2,REJECTED,PF 0.71 < 1.15,,,40.0,fixed2r,1405,2.172,33.2,0.71,-0.24,-337.4,-342.6,8.06,null
15m,5m,pre_ny,W3,REJECTED,PF 0.32 < 1.15,,,20.0,fixed2r,404,0.6246,20.0,0.32,-0.75,-303.0,-303.3,5.79,null
15m,5m,pre_ny,W3+W11,REJECTED,PF 0.34 < 1.15,,,20.0,fixed2r,214,0.3308,20.6,0.34,-0.713,-152.5,-153.0,5.83,null
15m,5m,pre_ny,W4,REJECTED,PF 0.39 < 1.15,,,20.0,fixed2r,434,0.6709,24.7,0.39,-0.625,-271.2,-270.1,5.71,null
15m,5m,pre_ny,W5,REJECTED,PF 0.77 < 1.15,,,40.0,target_or_2r,1665,2.574,39.5,0.77,-0.168,-279.8,-294.1,10.15,null
15m,5m,pre_ny,W6,REJECTED,PF 0.75 < 1.15,,,40.0,fixed2r,16,0.0247,31.2,0.75,-0.184,-3.0,-6.5,15.08,null
15m,5m,pre_ny,W7,REJECTED,PF 0.27 < 1.15,,,40.0,fixed2r,558,0.8626,21.0,0.27,-0.856,-477.9,-478.8,4.07,null
15m,5m,pre_ny,W8,REJECTED,PF 0.38 < 1.15,,,40.0,fixed2r,163,0.252,25.2,0.38,-0.675,-110.0,-113.8,5.36,null
15m,5m,ny_am,W1,REJECTED,PF 0.85 < 1.15,,,40.0,fixed2r,3020,4.6687,34.1,0.85,-0.113,-340.4,-351.8,14.11,null
15m,5m,ny_am,W1+W11,REJECTED,PF 0.80 < 1.15,,,40.0,fixed2r,1653,2.5554,32.5,0.8,-0.156,-257.2,-270.3,14.68,null
15m,5m,ny_am,W2,REJECTED,PF 0.71 < 1.15,,,40.0,fixed2r,3513,5.4309,31.7,0.71,-0.236,-830.1,-833.9,9.96,null
15m,5m,ny_am,W3,REJECTED,PF 0.30 < 1.15,,,20.0,fixed2r,206,0.3185,22.3,0.3,-0.806,-166.1,-167.7,4.33,null
