range_tf,sig_tf,lookback,session,model,exit_type,reclaim_bars,fb_bars,sos_variant,vol_filter,n,tr_wk,win_pct,PF,expR,totR,maxDD_R,med_stop_pts
4h,5m,20,london,W3+W11,fixed2r,1.0,,mid,True,0,0.0,0.0,0.0,0.0,0.0,0.0,
4h,5m,20,london,W3+W11,exit3,1.0,,mid,True,0,0.0,0.0,0.0,0.0,0.0,0.0,
4h,5m,20,london,W3,fixed2r,1.0,,high,False,0,0.0,0.0,0.0,0.0,0.0,0.0,
4h,5m,20,london,W3,exit3,1.0,,high,False,0,0.0,0.0,0.0,0.0,0.0,0.0,
4h,5m,20,london,W3+W11,fixed2r,1.0,,high,True,0,0.0,0.0,0.0,0.0,0.0,0.0,
4h,5m,20,london,W3+W11,exit3,1.0,,high,True,0,0.0,0.0,0.0,0.0,0.0,0.0,
4h,5m,20,london,W3,fixed2r,3.0,,mid,False,0,0.0,0.0,0.0,0.0,0.0,0.0,
4h,5m,20,london,W3,exit3,3.0,,mid,False,0,0.0,0.0,0.0,0.0,0.0,0.0,
4h,5m,20,london,W3+W11,fixed2r,3.0,,mid,True,0,0.0,0.0,0.0,0.0,0.0,0.0,
4h,5m,20,london,W3+W11,exit3,3.0,,mid,True,0,0.0,0.0,0.0,0.0,0.0,0.0,
4h,5m,20,london,W3,fixed2r,3.0,,high,False,0,0.0,0.0,0.0,0.0,0.0,0.0,
4h,5m,20,london,W3,exit3,3.0,,high,False,0,0.0,0.0,0.0,0.0,0.0,0.0,
4h,5m,20,london,W3+W11,fixed2r,3.0,,high,True,0,0.0,0.0,0.0,0.0,0.0,0.0,
4h,5m,20,london,W3+W11,exit3,3.0,,high,True,0,0.0,0.0,0.0,0.0,0.0,0.0,
4h,5m,20,london,W4,fixed2r,1.0,,mid,,0,0.0,0.0,0.0,0.0,0.0,0.0,
4h,5m,20,london,W4,exit3,1.0,,mid,,0,0.0,0.0,0.0,0.0,0.0,0.0,
4h,5m,20,london,W4,fixed2r,1.0,,high,,0,0.0,0.0,0.0,0.0,0.0,0.0,
4h,5m,20,london,W4,exit3,1.0,,high,,0,0.0,0.0,0.0,0.0,0.0,0.0,
4h,5m,20,london,W4,fixed2r,3.0,,mid,,0,0.0,0.0,0.0,0.0,0.0,0.0,
4h,5m,20,london,W4,exit3,3.0,,mid,,0,0.0,0.0,0.0,0.0,0.0,0.0,
4h,5m,20,london,W4,fixed2r,3.0,,high,,0,0.0,0.0,0.0,0.0,0.0,0.0,
4h,5m,20,london,W4,exit3,3.0,,high,,0,0.0,0.0,0.0,0.0,0.0,0.0,
4h,5m,20,london,W5,target_or_2r,,2.0,,,858,1.3264,32.4,0.65,-0.301,-258.5,-261.7,7.5
4h,5m,20,london,W5,exit3,,2.0,,,858,1.3264,31.8,0.59,-0.283,-242.6,-244.4,7.5
4h,5m,20,london,W5,target_or_2r,,4.0,,,866,1.3388,32.8,0.69,-0.259,-224.5,-227.9,8.3
4h,5m,20,london,W5,exit3,,4.0,,,866,1.3388,32.4,0.63,-0.244,-211.1,-213.0,8.3
4h,5m,20,london,W6,fixed2r,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,
4h,5m,20,london,W6,exit3,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,
4h,5m,20,london,W7,fixed2r,,,mid,,159,0.2458,26.4,0.3,-0.866,-137.6,-135.5,2.25
4h,5m,20,london,W7,exit3,,,mid,,159,0.2458,25.2,0.21,-0.897,-142.6,-140.0,2.25
4h,5m,20,london,W7,fixed2r,,,high,,134,0.2072,19.4,0.19,-1.127,-151.0,-148.7,2.3
4h,5m,20,london,W7,exit3,,,high,,134,0.2072,17.9,0.13,-1.164,-156.0,-153.2,2.3
4h,5m,20,london,W8,fixed2r,,,mid,,105,0.1623,17.1,0.18,-1.112,-116.8,-116.8,2.75
4h,5m,20,london,W8,exit3,,,mid,,105,0.1623,15.2,0.13,-1.079,-113.3,-112.3,2.75
4h,5m,20,london,W8,fixed2r,,,high,,50,0.0773,28.0,0.47,-0.517,-25.8,-24.9,5.51
4h,5m,20,london,W8,exit3,,,high,,50,0.0773,28.0,0.34,-0.597,-29.8,-28.1,5.51
4h,5m,20,pre_ny,W1,fixed2r,1.0,,,False,237,0.3664,38.0,0.94,-0.048,-11.3,-32.3,9.92
4h,5m,20,pre_ny,W1,exit3,1.0,,,False,237,0.3664,38.0,0.91,-0.052,-12.3,-25.8,9.92
4h,5m,20,pre_ny,W1+W11,fixed2r,1.0,,,True,62,0.0958,45.2,1.34,0.212,13.1,-7.8,13.56
4h,5m,20,pre_ny,W1+W11,exit3,1.0,,,True,62,0.0958,45.2,1.23,0.115,7.1,-6.8,13.56
4h,5m,20,pre_ny,W1,fixed2r,3.0,,,False,268,0.4143,36.6,0.92,-0.061,-16.4,-24.3,12.52
4h,5m,20,pre_ny,W1,exit3,3.0,,,False,268,0.4143,36.9,0.94,-0.029,-7.9,-16.3,12.52
4h,5m,20,pre_ny,W1+W11,fixed2r,3.0,,,True,73,0.1129,45.2,1.36,0.224,16.4,-5.6,14.79
4h,5m,20,pre_ny,W1+W11,exit3,3.0,,,True,73,0.1129,45.2,1.28,0.135,9.9,-6.1,14.79
4h,5m,20,pre_ny,W2,fixed2r,1.0,,,,504,0.7792,33.5,0.67,-0.286,-144.0,-155.2,5.68
4h,5m,20,pre_ny,W2,exit3,1.0,,,,504,0.7792,33.5,0.58,-0.299,-150.5,-158.7,5.68
4h,5m,20,pre_ny,W2,fixed2r,3.0,,,,567,0.8765,33.5,0.71,-0.245,-139.0,-151.0,6.9
4h,5m,20,pre_ny,W2,exit3,3.0,,,,567,0.8765,33.9,0.64,-0.237,-134.6,-145.0,6.9
4h,5m,20,pre_ny,W3,fixed2r,1.0,,mid,False,1,0.0015,0.0,0.0,-1.025,-1.0,0.0,48.4
4h,5m,20,pre_ny,W3,exit3,1.0,,mid,False,1,0.0015,0.0,0.0,-1.025,-1.0,0.0,48.4
4h,5m,20,pre_ny,W3+W11,fixed2r,1.0,,mid,True,1,0.0015,0.0,0.0,-1.025,-1.0,0.0,48.4
4h,5m,20,pre_ny,W3+W11,exit3,1.0,,mid,True,1,0.0015,0.0,0.0,-1.025,-1.0,0.0,48.4
4h,5m,20,pre_ny,W3,fixed2r,1.0,,high,False,0,0.0,0.0,0.0,0.0,0.0,0.0,
4h,5m,20,pre_ny,W3,exit3,1.0,,high,False,0,0.0,0.0,0.0,0.0,0.0,0.0,
4h,5m,20,pre_ny,W3+W11,fixed2r,1.0,,high,True,0,0.0,0.0,0.0,0.0,0.0,0.0,
4h,5m,20,pre_ny,W3+W11,exit3,1.0,,high,True,0,0.0,0.0,0.0,0.0,0.0,0.0,
4h,5m,20,pre_ny,W3,fixed2r,3.0,,mid,False,2,0.0031,0.0,0.0,-1.365,-2.7,-1.0,25.05
4h,5m,20,pre_ny,W3,exit3,3.0,,mid,False,2,0.0031,0.0,0.0,-1.365,-2.7,-1.0,25.05
4h,5m,20,pre_ny,W3+W11,fixed2r,3.0,,mid,True,2,0.0031,0.0,0.0,-1.365,-2.7,-1.0,25.05
4h,5m,20,pre_ny,W3+W11,exit3,3.0,,mid,True,2,0.0031,0.0,0.0,-1.365,-2.7,-1.0,25.05
4h,5m,20,pre_ny,W3,fixed2r,3.0,,high,False,0,0.0,0.0,0.0,0.0,0.0,0.0,
4h,5m,20,pre_ny,W3,exit3,3.0,,high,False,0,0.0,0.0,0.0,0.0,0.0,0.0,
4h,5m,20,pre_ny,W3+W11,fixed2r,3.0,,high,True,0,0.0,0.0,0.0,0.0,0.0,0.0,
4h,5m,20,pre_ny,W3+W11,exit3,3.0,,high,True,0,0.0,0.0,0.0,0.0,0.0,0.0,
4h,5m,20,pre_ny,W4,fixed2r,1.0,,mid,,3,0.0046,33.3,0.47,-0.592,-1.8,-3.4,3.02
4h,5m,20,pre_ny,W4,exit3,1.0,,mid,,3,0.0046,33.3,0.33,-0.759,-2.3,-3.4,3.02
4h,5m,20,pre_ny,W4,fixed2r,1.0,,high,,0,0.0,0.0,0.0,0.0,0.0,0.0,
4h,5m,20,pre_ny,W4,exit3,1.0,,high,,0,0.0,0.0,0.0,0.0,0.0,0.0,
4h,5m,20,pre_ny,W4,fixed2r,3.0,,mid,,6,0.0093,16.7,0.23,-0.912,-5.5,-5.5,3.59
4h,5m,20,pre_ny,W4,exit3,3.0,,mid,,6,0.0093,16.7,0.16,-0.995,-6.0,-5.5,3.59
4h,5m,20,pre_ny,W4,fixed2r,3.0,,high,,0,0.0,0.0,0.0,0.0,0.0,0.0,
4h,5m,20,pre_ny,W4,exit3,3.0,,high,,0,0.0,0.0,0.0,0.0,0.0,0.0,
4h,5m,20,pre_ny,W5,target_or_2r,,2.0,,,536,0.8286,34.3,0.75,-0.198,-106.0,-106.1,10.41
4h,5m,20,pre_ny,W5,exit3,,2.0,,,536,0.8286,34.5,0.72,-0.176,-94.3,-94.9,10.41
4h,5m,20,pre_ny,W5,target_or_2r,,4.0,,,550,0.8503,32.9,0.74,-0.21,-115.7,-115.8,11.51
4h,5m,20,pre_ny,W5,exit3,,4.0,,,550,0.8503,33.1,0.72,-0.169,-92.8,-96.6,11.51
4h,5m,20,pre_ny,W6,fixed2r,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,
4h,5m,20,pre_ny,W6,exit3,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,
4h,5m,20,pre_ny,W7,fixed2r,,,mid,,192,0.2968,17.2,0.23,-0.931,-178.7,-180.5,4.61
4h,5m,20,pre_ny,W7,exit3,,,mid,,192,0.2968,16.7,0.18,-0.886,-170.2,-171.1,4.61
4h,5m,20,pre_ny,W7,fixed2r,,,high,,105,0.1623,16.2,0.18,-1.05,-110.3,-111.0,3.8
4h,5m,20,pre_ny,W7,exit3,,,high,,105,0.1623,16.2,0.12,-1.045,-109.8,-110.0,3.8
4h,5m,20,pre_ny,W8,fixed2r,,,mid,,96,0.1484,26.0,0.41,-0.621,-59.6,-64.4,6.51
4h,5m,20,pre_ny,W8,exit3,,,mid,,96,0.1484,25.0,0.33,-0.626,-60.1,-62.9,6.51
4h,5m,20,pre_ny,W8,fixed2r,,,high,,31,0.0479,9.7,0.14,-1.048,-32.5,-31.9,3.85
4h,5m,20,pre_ny,W8,exit3,,,high,,31,0.0479,9.7,0.11,-1.032,-32.0,-30.9,3.85
4h,5m,20,ny_am,W1,fixed2r,1.0,,,False,833,1.2878,31.5,0.77,-0.18,-149.9,-189.7,16.3
4h,5m,20,ny_am,W1,exit3,1.0,,,False,833,1.2878,31.6,0.7,-0.186,-154.8,-172.7,16.3
4h,5m,20,ny_am,W1+W11,fixed2r,1.0,,,True,296,0.4576,29.4,0.7,-0.237,-70.1,-83.6,16.19
4h,5m,20,ny_am,W1+W11,exit3,1.0,,,True,296,0.4576,29.7,0.62,-0.249,-73.6,-79.5,16.19
4h,5m,20,ny_am,W1,fixed2r,3.0,,,False,853,1.3187,31.7,0.77,-0.173,-147.2,-175.5,18.07
4h,5m,20,ny_am,W1,exit3,3.0,,,False,853,1.3187,31.8,0.72,-0.171,-146.1,-161.5,18.07
4h,5m,20,ny_am,W1+W11,fixed2r,3.0,,,True,329,0.5086,29.5,0.7,-0.231,-76.0,-85.1,19.38
4h,5m,20,ny_am,W1+W11,exit3,3.0,,,True,329,0.5086,29.8,0.65,-0.217,-71.5,-76.7,19.38
4h,5m,20,ny_am,W2,fixed2r,1.0,,,,1335,2.0638,32.7,0.73,-0.218,-291.6,-319.6,9.69
4h,5m,20,ny_am,W2,exit3,1.0,,,,1335,2.0638,32.8,0.65,-0.225,-300.3,-320.4,9.69
4h,5m,20,ny_am,W2,fixed2r,3.0,,,,1369,2.1164,32.9,0.75,-0.194,-265.2,-288.2,11.05
4h,5m,20,ny_am,W2,exit3,3.0,,,,1369,2.1164,33.3,0.68,-0.204,-279.8,-296.2,11.05
4h,5m,20,ny_am,W3,fixed2r,1.0,,mid,False,2,0.0031,0.0,0.0,-1.428,-2.9,-1.2,4.8
4h,5m,20,ny_am,W3,exit3,1.0,,mid,False,2,0.0031,0.0,0.0,-0.928,-1.9,-0.2,4.8
4h,5m,20,ny_am,W3+W11,fixed2r,1.0,,mid,True,1,0.0015,0.0,0.0,-1.705,-1.7,0.0,1.7
4h,5m,20,ny_am,W3+W11,exit3,1.0,,mid,True,1,0.0015,0.0,0.0,-1.705,-1.7,0.0,1.7
4h,5m,20,ny_am,W3,fixed2r,1.0,,high,False,0,0.0,0.0,0.0,0.0,0.0,0.0,
4h,5m,20,ny_am,W3,exit3,1.0,,high,False,0,0.0,0.0,0.0,0.0,0.0,0.0,
4h,5m,20,ny_am,W3+W11,fixed2r,1.0,,high,True,0,0.0,0.0,0.0,0.0,0.0,0.0,
4h,5m,20,ny_am,W3+W11,exit3,1.0,,high,True,0,0.0,0.0,0.0,0.0,0.0,0.0,
4h,5m,20,ny_am,W3,fixed2r,3.0,,mid,False,2,0.0031,0.0,0.0,-1.428,-2.9,-1.2,4.8
4h,5m,20,ny_am,W3,exit3,3.0,,mid,False,2,0.0031,0.0,0.0,-0.928,-1.9,-0.2,4.8
4h,5m,20,ny_am,W3+W11,fixed2r,3.0,,mid,True,1,0.0015,0.0,0.0,-1.705,-1.7,0.0,1.7
4h,5m,20,ny_am,W3+W11,exit3,3.0,,mid,True,1,0.0015,0.0,0.0,-1.705,-1.7,0.0,1.7
4h,5m,20,ny_am,W3,fixed2r,3.0,,high,False,0,0.0,0.0,0.0,0.0,0.0,0.0,
4h,5m,20,ny_am,W3,exit3,3.0,,high,False,0,0.0,0.0,0.0,0.0,0.0,0.0,
4h,5m,20,ny_am,W3+W11,fixed2r,3.0,,high,True,0,0.0,0.0,0.0,0.0,0.0,0.0,
4h,5m,20,ny_am,W3+W11,exit3,3.0,,high,True,0,0.0,0.0,0.0,0.0,0.0,0.0,
4h,5m,20,ny_am,W4,fixed2r,1.0,,mid,,11,0.017,18.2,0.26,-0.757,-8.3,-6.7,15.4
4h,5m,20,ny_am,W4,exit3,1.0,,mid,,11,0.017,18.2,0.17,-0.848,-9.3,-7.7,15.4
4h,5m,20,ny_am,W4,fixed2r,1.0,,high,,0,0.0,0.0,0.0,0.0,0.0,0.0,
4h,5m,20,ny_am,W4,exit3,1.0,,high,,0,0.0,0.0,0.0,0.0,0.0,0.0,
4h,5m,20,ny_am,W4,fixed2r,3.0,,mid,,11,0.017,18.2,0.26,-0.757,-8.3,-6.7,15.4
4h,5m,20,ny_am,W4,exit3,3.0,,mid,,11,0.017,18.2,0.17,-0.848,-9.3,-7.7,15.4
4h,5m,20,ny_am,W4,fixed2r,3.0,,high,,0,0.0,0.0,0.0,0.0,0.0,0.0,
4h,5m,20,ny_am,W4,exit3,3.0,,high,,0,0.0,0.0,0.0,0.0,0.0,0.0,
4h,5m,20,ny_am,W5,target_or_2r,,2.0,,,977,1.5104,31.9,0.8,-0.146,-142.6,-149.6,21.9
4h,5m,20,ny_am,W5,exit3,,2.0,,,977,1.5104,32.4,0.77,-0.134,-130.7,-138.2,21.9
4h,5m,20,ny_am,W5,target_or_2r,,4.0,,,1004,1.5521,32.3,0.8,-0.146,-146.4,-159.3,23.14
4h,5m,20,ny_am,W5,exit3,,4.0,,,1004,1.5521,32.5,0.76,-0.139,-139.1,-145.7,23.14
4h,5m,20,ny_am,W6,fixed2r,,,,,1,0.0015,100.0,inf,0.707,0.7,0.0,348.15
4h,5m,20,ny_am,W6,exit3,,,,,1,0.0015,100.0,inf,0.852,0.9,0.0,348.15
4h,5m,20,ny_am,W7,fixed2r,,,mid,,319,0.4932,16.0,0.21,-0.949,-302.7,-301.1,4.69
4h,5m,20,ny_am,W7,exit3,,,mid,,319,0.4932,15.0,0.16,-0.957,-305.2,-303.1,4.69
4h,5m,20,ny_am,W7,fixed2r,,,high,,241,0.3726,23.2,0.33,-0.722,-174.0,-171.1,5.54
4h,5m,20,ny_am,W7,exit3,,,high,,241,0.3726,22.0,0.24,-0.772,-186.0,-183.1,5.54
4h,5m,20,ny_am,W8,fixed2r,,,mid,,172,0.2659,22.7,0.36,-0.674,-115.9,-114.5,7.33
4h,5m,20,ny_am,W8,exit3,,,mid,,172,0.2659,22.1,0.27,-0.723,-124.4,-122.5,7.33
4h,5m,20,ny_am,W8,fixed2r,,,high,,77,0.119,26.0,0.47,-0.497,-38.2,-36.2,8.66
4h,5m,20,ny_am,W8,exit3,,,high,,77,0.119,26.0,0.36,-0.562,-43.2,-41.2,8.66
4h,5m,20,24h-control,W1,fixed2r,1.0,,,False,3642,5.6303,34.7,0.83,-0.128,-465.0,-491.5,11.79
4h,5m,20,24h-control,W1,exit3,1.0,,,False,3642,5.6303,34.7,0.75,-0.152,-552.4,-576.5,11.79
4h,5m,20,24h-control,W1+W11,fixed2r,1.0,,,True,614,0.9492,33.9,0.83,-0.13,-79.7,-117.6,13.79
4h,5m,20,24h-control,W1+W11,exit3,1.0,,,True,614,0.9492,34.0,0.74,-0.161,-99.1,-116.6,13.79
4h,5m,20,24h-control,W1,fixed2r,3.0,,,False,3733,5.771,34.9,0.85,-0.109,-405.7,-420.2,13.66
4h,5m,20,24h-control,W1,exit3,3.0,,,False,3733,5.771,34.9,0.79,-0.124,-463.5,-475.9,13.66
4h,5m,20,24h-control,W1+W11,fixed2r,3.0,,,True,656,1.0141,33.2,0.81,-0.144,-94.2,-113.0,15.15
4h,5m,20,24h-control,W1+W11,exit3,3.0,,,True,656,1.0141,33.2,0.74,-0.157,-102.7,-108.1,15.15
4h,5m,20,24h-control,W2,fixed2r,1.0,,,,6248,9.659,34.5,0.7,-0.251,-1571.4,-1598.4,5.79
4h,5m,20,24h-control,W2,exit3,1.0,,,,6248,9.659,34.5,0.61,-0.262,-1636.3,-1644.7,5.79
4h,5m,20,24h-control,W2,fixed2r,3.0,,,,6444,9.962,34.4,0.72,-0.227,-1464.9,-1475.4,6.79
4h,5m,20,24h-control,W2,exit3,3.0,,,,6444,9.962,34.4,0.64,-0.236,-1521.5,-1528.2,6.79
4h,5m,20,24h-control,W3,fixed2r,1.0,,mid,False,7,0.0108,28.6,0.58,-0.376,-2.6,-2.4,6.52
4h,5m,20,24h-control,W3,exit3,1.0,,mid,False,7,0.0108,28.6,0.62,-0.234,-1.6,-1.4,6.52
4h,5m,20,24h-control,W3+W11,fixed2r,1.0,,mid,True,3,0.0046,33.3,0.71,-0.263,-0.8,-1.0,20.42
4h,5m,20,24h-control,W3+W11,exit3,1.0,,mid,True,3,0.0046,33.3,0.53,-0.43,-1.3,-1.0,20.42
4h,5m,20,24h-control,W3,fixed2r,1.0,,high,False,0,0.0,0.0,0.0,0.0,0.0,0.0,
4h,5m,20,24h-control,W3,exit3,1.0,,high,False,0,0.0,0.0,0.0,0.0,0.0,0.0,
4h,5m,20,24h-control,W3+W11,fixed2r,1.0,,high,True,0,0.0,0.0,0.0,0.0,0.0,0.0,
4h,5m,20,24h-control,W3+W11,exit3,1.0,,high,True,0,0.0,0.0,0.0,0.0,0.0,0.0,
4h,5m,20,24h-control,W3,fixed2r,3.0,,mid,False,7,0.0108,28.6,0.58,-0.376,-2.6,-2.4,6.52
4h,5m,20,24h-control,W3,exit3,3.0,,mid,False,7,0.0108,28.6,0.62,-0.234,-1.6,-1.4,6.52
4h,5m,20,24h-control,W3+W11,fixed2r,3.0,,mid,True,3,0.0046,33.3,0.71,-0.263,-0.8,-1.0,20.42
4h,5m,20,24h-control,W3+W11,exit3,3.0,,mid,True,3,0.0046,33.3,0.53,-0.43,-1.3,-1.0,20.42
4h,5m,20,24h-control,W3,fixed2r,3.0,,high,False,0,0.0,0.0,0.0,0.0,0.0,0.0,
4h,5m,20,24h-control,W3,exit3,3.0,,high,False,0,0.0,0.0,0.0,0.0,0.0,0.0,
4h,5m,20,24h-control,W3+W11,fixed2r,3.0,,high,True,0,0.0,0.0,0.0,0.0,0.0,0.0,
4h,5m,20,24h-control,W3+W11,exit3,3.0,,high,True,0,0.0,0.0,0.0,0.0,0.0,0.0,
4h,5m,20,24h-control,W4,fixed2r,1.0,,mid,,14,0.0216,21.4,0.33,-0.663,-9.3,-9.3,4.67
4h,5m,20,24h-control,W4,exit3,1.0,,mid,,14,0.0216,21.4,0.22,-0.77,-10.8,-10.3,4.67
4h,5m,20,24h-control,W4,fixed2r,1.0,,high,,1,0.0015,0.0,0.0,-1.434,-1.4,0.0,2.76
4h,5m,20,24h-control,W4,exit3,1.0,,high,,1,0.0015,0.0,0.0,-1.434,-1.4,0.0,2.76
4h,5m,20,24h-control,W4,fixed2r,3.0,,mid,,16,0.0247,18.8,0.29,-0.712,-11.4,-11.4,10.17
4h,5m,20,24h-control,W4,exit3,3.0,,mid,,16,0.0247,18.8,0.19,-0.806,-12.9,-12.4,10.17
4h,5m,20,24h-control,W4,fixed2r,3.0,,high,,1,0.0015,0.0,0.0,-1.434,-1.4,0.0,2.76
4h,5m,20,24h-control,W4,exit3,3.0,,high,,1,0.0015,0.0,0.0,-1.434,-1.4,0.0,2.76
4h,5m,20,24h-control,W5,target_or_2r,,2.0,,,6618,10.231,34.3,0.76,-0.187,-1235.6,-1263.5,10.3
4h,5m,20,24h-control,W5,exit3,,2.0,,,6618,10.231,34.2,0.7,-0.188,-1244.2,-1263.6,10.3
4h,5m,20,24h-control,W5,target_or_2r,,4.0,,,6620,10.2341,34.3,0.78,-0.172,-1135.5,-1152.2,11.3
4h,5m,20,24h-control,W5,exit3,,4.0,,,6620,10.2341,34.2,0.72,-0.173,-1144.0,-1159.8,11.3
4h,5m,20,24h-control,W6,fixed2r,,,,,1,0.0015,100.0,inf,0.707,0.7,0.0,348.15
4h,5m,20,24h-control,W6,exit3,,,,,1,0.0015,100.0,inf,0.852,0.9,0.0,348.15
4h,5m,20,24h-control,W7,fixed2r,,,mid,,1257,1.9432,19.6,0.23,-0.957,-1202.8,-1202.6,3.35
4h,5m,20,24h-control,W7,exit3,,,mid,,1257,1.9432,18.3,0.16,-0.963,-1210.8,-1209.6,3.35
4h,5m,20,24h-control,W7,fixed2r,,,high,,1007,1.5568,20.8,0.23,-0.964,-970.6,-969.5,2.98
4h,5m,20,24h-control,W7,exit3,,,high,,1007,1.5568,19.2,0.16,-0.991,-997.6,-996.0,2.98
4h,5m,20,24h-control,W8,fixed2r,,,mid,,661,1.0219,19.5,0.26,-0.86,-568.4,-567.0,5.31
4h,5m,20,24h-control,W8,exit3,,,mid,,661,1.0219,18.8,0.2,-0.855,-565.4,-563.5,5.31
4h,5m,20,24h-control,W8,fixed2r,,,high,,356,0.5504,19.1,0.28,-0.783,-278.8,-277.6,5.68
4h,5m,20,24h-control,W8,exit3,,,high,,356,0.5504,18.5,0.21,-0.814,-289.8,-288.6,5.68
4h,5m,40,asia,W1,fixed2r,1.0,,,False,280,0.4329,36.1,0.88,-0.093,-26.0,-35.3,10.46
4h,5m,40,asia,W1,exit3,1.0,,,False,280,0.4329,36.1,0.83,-0.098,-27.5,-31.8,10.46
4h,5m,40,asia,W1+W11,fixed2r,1.0,,,True,46,0.0711,43.5,1.24,0.155,7.1,-9.7,12.88
4h,5m,40,asia,W1+W11,exit3,1.0,,,True,46,0.0711,43.5,1.08,0.047,2.1,-7.2,12.88
4h,5m,40,asia,W1,fixed2r,3.0,,,False,291,0.4499,34.7,0.85,-0.114,-33.3,-50.2,12.1
4h,5m,40,asia,W1,exit3,3.0,,,False,291,0.4499,34.7,0.84,-0.089,-25.8,-32.7,12.1
4h,5m,40,asia,W1+W11,fixed2r,3.0,,,True,51,0.0788,45.1,1.34,0.213,10.9,-10.6,12.1
4h,5m,40,asia,W1+W11,exit3,3.0,,,True,51,0.0788,45.1,1.21,0.105,5.4,-9.1,12.1
4h,5m,40,asia,W2,fixed2r,1.0,,,,330,0.5102,31.5,0.58,-0.388,-127.9,-136.7,4.68
4h,5m,40,asia,W2,exit3,1.0,,,,330,0.5102,30.9,0.5,-0.366,-120.9,-127.7,4.68
4h,5m,40,asia,W2,fixed2r,3.0,,,,340,0.5256,29.4,0.55,-0.404,-137.2,-142.1,5.99
4h,5m,40,asia,W2,exit3,3.0,,,,340,0.5256,28.8,0.49,-0.377,-128.2,-132.1,5.99
4h,5m,40,asia,W3,fixed2r,1.0,,mid,False,0,0.0,0.0,0.0,0.0,0.0,0.0,
4h,5m,40,asia,W3,exit3,1.0,,mid,False,0,0.0,0.0,0.0,0.0,0.0,0.0,
4h,5m,40,asia,W3+W11,fixed2r,1.0,,mid,True,0,0.0,0.0,0.0,0.0,0.0,0.0,
4h,5m,40,asia,W3+W11,exit3,1.0,,mid,True,0,0.0,0.0,0.0,0.0,0.0,0.0,
4h,5m,40,asia,W3,fixed2r,1.0,,high,False,0,0.0,0.0,0.0,0.0,0.0,0.0,
4h,5m,40,asia,W3,exit3,1.0,,high,False,0,0.0,0.0,0.0,0.0,0.0,0.0,
4h,5m,40,asia,W3+W11,fixed2r,1.0,,high,True,0,0.0,0.0,0.0,0.0,0.0,0.0,
4h,5m,40,asia,W3+W11,exit3,1.0,,high,True,0,0.0,0.0,0.0,0.0,0.0,0.0,
4h,5m,40,asia,W3,fixed2r,3.0,,mid,False,0,0.0,0.0,0.0,0.0,0.0,0.0,
4h,5m,40,asia,W3,exit3,3.0,,mid,False,0,0.0,0.0,0.0,0.0,0.0,0.0,
4h,5m,40,asia,W3+W11,fixed2r,3.0,,mid,True,0,0.0,0.0,0.0,0.0,0.0,0.0,
4h,5m,40,asia,W3+W11,exit3,3.0,,mid,True,0,0.0,0.0,0.0,0.0,0.0,0.0,
4h,5m,40,asia,W3,fixed2r,3.0,,high,False,0,0.0,0.0,0.0,0.0,0.0,0.0,
4h,5m,40,asia,W3,exit3,3.0,,high,False,0,0.0,0.0,0.0,0.0,0.0,0.0,
4h,5m,40,asia,W3+W11,fixed2r,3.0,,high,True,0,0.0,0.0,0.0,0.0,0.0,0.0,
4h,5m,40,asia,W3+W11,exit3,3.0,,high,True,0,0.0,0.0,0.0,0.0,0.0,0.0,
4h,5m,40,asia,W4,fixed2r,1.0,,mid,,0,0.0,0.0,0.0,0.0,0.0,0.0,
4h,5m,40,asia,W4,exit3,1.0,,mid,,0,0.0,0.0,0.0,0.0,0.0,0.0,
4h,5m,40,asia,W4,fixed2r,1.0,,high,,0,0.0,0.0,0.0,0.0,0.0,0.0,
4h,5m,40,asia,W4,exit3,1.0,,high,,0,0.0,0.0,0.0,0.0,0.0,0.0,
4h,5m,40,asia,W4,fixed2r,3.0,,mid,,0,0.0,0.0,0.0,0.0,0.0,0.0,
4h,5m,40,asia,W4,exit3,3.0,,mid,,0,0.0,0.0,0.0,0.0,0.0,0.0,
4h,5m,40,asia,W4,fixed2r,3.0,,high,,0,0.0,0.0,0.0,0.0,0.0,0.0,
4h,5m,40,asia,W4,exit3,3.0,,high,,0,0.0,0.0,0.0,0.0,0.0,0.0,
4h,5m,40,asia,W5,target_or_2r,,2.0,,,463,0.7158,31.3,0.67,-0.281,-130.2,-136.6,8.5
4h,5m,40,asia,W5,exit3,,2.0,,,463,0.7158,31.3,0.61,-0.262,-121.2,-124.5,8.5
4h,5m,40,asia,W5,target_or_2r,,4.0,,,466,0.7204,30.5,0.65,-0.293,-136.7,-143.6,9.2
4h,5m,40,asia,W5,exit3,,4.0,,,466,0.7204,30.5,0.59,-0.28,-130.2,-134.1,9.2
4h,5m,40,asia,W6,fixed2r,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,
4h,5m,40,asia,W6,exit3,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,
4h,5m,40,asia,W7,fixed2r,,,mid,,77,0.119,26.0,0.31,-0.779,-60.0,-61.0,2.71
4h,5m,40,asia,W7,exit3,,,mid,,77,0.119,24.7,0.21,-0.87,-67.0,-67.5,2.71
