level,model,params,verdict,n,pf,freq_tr_wk,last6_pos,last6_of,canary_pass,label,reasons,per_year_pf
PML,sweep_reclaim_reversal,"{'tick_mult': 3, 'reclaim_bars': 1, 'exit_type': 'exit3'}",DEAD,5952,0.826,9.228,1,6,,,PF 0.826 < 1.15; only 1/6 of last-6-full-years PF>=1.0 (need >=4),"{2014: 0.818, 2015: 0.871, 2016: 0.71, 2017: 0.763, 2018: 0.729, 2019: 0.703, 2020: 1.099, 2021: 0.74, 2022: 0.79, 2023: 0.821, 2024: 0.949, 2025: 0.877, 2026: 1.196}"
PML,sweep_reclaim_reversal,"{'tick_mult': 3, 'reclaim_bars': 3, 'exit_type': 1.5}",DEAD,7880,0.873,12.217,1,6,,,PF 0.873 < 1.15; only 1/6 of last-6-full-years PF>=1.0 (need >=4),"{2014: 0.839, 2015: 0.969, 2016: 0.782, 2017: 0.831, 2018: 0.779, 2019: 0.739, 2020: 1.078, 2021: 0.836, 2022: 0.888, 2023: 0.89, 2024: 0.869, 2025: 0.87, 2026: 1.332}"
PML,sweep_reclaim_reversal,"{'tick_mult': 3, 'reclaim_bars': 3, 'exit_type': 'exit3'}",DEAD,7880,0.865,12.217,1,6,,,PF 0.865 < 1.15; only 1/6 of last-6-full-years PF>=1.0 (need >=4),"{2014: 0.814, 2015: 0.888, 2016: 0.755, 2017: 0.779, 2018: 0.757, 2019: 0.772, 2020: 1.138, 2021: 0.854, 2022: 0.853, 2023: 0.897, 2024: 0.869, 2025: 0.901, 2026: 1.301}"
PML,break_retest_continuation,{'exit_type': 1.5},DEAD,6997,0.715,10.834,2,6,,,PF 0.715 < 1.15; only 2/6 of last-6-full-years PF>=1.0 (need >=4),"{2014: 0.41, 2015: 0.416, 2016: 0.635, 2017: 0.332, 2018: 0.602, 2019: 0.75, 2020: 0.652, 2021: 0.792, 2022: 0.997, 2023: 1.073, 2024: 0.936, 2025: 1.157, 2026: 1.311}"
PML,break_retest_continuation,{'exit_type': 'exit3'},DEAD,6997,0.687,10.834,2,6,,,PF 0.687 < 1.15; only 2/6 of last-6-full-years PF>=1.0 (need >=4),"{2014: 0.368, 2015: 0.406, 2016: 0.577, 2017: 0.305, 2018: 0.58, 2019: 0.728, 2020: 0.587, 2021: 0.8, 2022: 0.998, 2023: 1.04, 2024: 0.978, 2025: 1.1, 2026: 1.404}"
PML,failed_break_back_into_range,"{'fb_bars': 2, 'exit_type': 1.5}",DEAD,3068,0.946,4.766,1,6,,,PF 0.946 < 1.15; only 1/6 of last-6-full-years PF>=1.0 (need >=4),"{2014: 0.999, 2015: 0.956, 2016: 0.943, 2017: 1.014, 2018: 0.741, 2019: 0.848, 2020: 1.092, 2021: 0.922, 2022: 0.936, 2023: 0.962, 2024: 0.863, 2025: 0.957, 2026: 1.491}"
PML,failed_break_back_into_range,"{'fb_bars': 2, 'exit_type': 'exit3'}",DEAD,3068,0.954,4.766,3,6,,,PF 0.954 < 1.15; only 3/6 of last-6-full-years PF>=1.0 (need >=4),"{2014: 0.922, 2015: 0.994, 2016: 0.897, 2017: 0.903, 2018: 0.728, 2019: 0.927, 2020: 1.245, 2021: 1.022, 2022: 0.92, 2023: 0.924, 2024: 0.836, 2025: 1.02, 2026: 1.523}"
PML,failed_break_back_into_range,"{'fb_bars': 4, 'exit_type': 1.5}",DEAD,4491,0.969,6.977,3,6,,,PF 0.969 < 1.15; only 3/6 of last-6-full-years PF>=1.0 (need >=4),"{2014: 0.889, 2015: 0.977, 2016: 0.965, 2017: 0.995, 2018: 0.78, 2019: 0.886, 2020: 1.077, 2021: 1.054, 2022: 0.963, 2023: 1.152, 2024: 0.81, 2025: 0.931, 2026: 1.558}"
PML,failed_break_back_into_range,"{'fb_bars': 4, 'exit_type': 'exit3'}",DEAD,4491,0.973,6.977,3,6,,,PF 0.973 < 1.15; only 3/6 of last-6-full-years PF>=1.0 (need >=4),"{2014: 0.857, 2015: 0.995, 2016: 0.909, 2017: 0.904, 2018: 0.764, 2019: 0.959, 2020: 1.207, 2021: 1.163, 2022: 0.919, 2023: 1.11, 2024: 0.804, 2025: 0.955, 2026: 1.476}"
PRIOR_CLOSE_hi,sweep_reclaim_reversal,"{'tick_mult': 1, 'reclaim_bars': 1, 'exit_type': 1.5}",DEAD,5771,0.704,8.943,0,6,,,PF 0.704 < 1.15; only 0/6 of last-6-full-years PF>=1.0 (need >=4),"{2014: 0.7, 2015: 0.575, 2016: 0.669, 2017: 0.426, 2018: 0.68, 2019: 0.776, 2020: 0.641, 2021: 0.779, 2022: 0.822, 2023: 0.813, 2024: 0.916, 2025: 0.756, 2026: 0.733}"
