pd_tf,sig_tf,session,tick_mult,disp_min,disc,entry_style,exit_type,n,tr_wk,win_pct,PF,expR,totR,maxDD_R,med_stop_pts
4h,15m,london,1,1,False,mid,fixed2r,166,0.257,37.3,0.95,-0.037,-6.1,-26.8,14.45
4h,15m,london,1,1,False,mid,exit3,166,0.257,37.3,0.89,-0.061,-10.1,-23.3,14.45
4h,15m,london,1,1,True,top,fixed2r,87,0.134,48.3,1.49,0.293,25.5,-7.7,12.59
4h,15m,london,1,1,True,top,exit3,87,0.134,48.3,1.38,0.178,15.5,-5.7,12.59
4h,15m,london,1,1,True,mid,fixed2r,90,0.139,47.8,1.48,0.285,25.7,-8.0,12.19
4h,15m,london,1,1,True,mid,exit3,90,0.139,47.8,1.5,0.213,19.2,-5.7,12.19
4h,15m,london,1,2,False,top,fixed2r,129,0.199,35.7,0.89,-0.078,-10.0,-24.5,14.38
4h,15m,london,1,2,False,top,exit3,129,0.199,35.7,0.82,-0.109,-14.0,-20.5,14.38
4h,15m,london,1,2,False,mid,fixed2r,134,0.207,34.3,0.82,-0.138,-18.5,-27.7,15.06
4h,15m,london,1,2,False,mid,exit3,134,0.207,34.3,0.78,-0.13,-17.5,-24.2,15.06
4h,15m,london,1,2,True,top,fixed2r,69,0.107,46.4,1.36,0.224,15.5,-5.7,13.16
4h,15m,london,1,2,True,top,exit3,69,0.107,46.4,1.25,0.123,8.5,-5.7,13.16
4h,15m,london,1,2,True,mid,fixed2r,73,0.113,45.2,1.32,0.2,14.6,-6.9,13.31
4h,15m,london,1,2,True,mid,exit3,73,0.113,45.2,1.34,0.152,11.1,-6.4,13.31
4h,15m,london,3,1,False,top,fixed2r,156,0.241,39.1,1.07,0.049,7.6,-21.0,14.95
4h,15m,london,3,1,False,top,exit3,156,0.241,39.1,1.01,0.007,1.1,-18.5,14.95
4h,15m,london,3,1,False,mid,fixed2r,158,0.244,37.3,1.0,-0.003,-0.5,-26.7,15.73
4h,15m,london,3,1,False,mid,exit3,158,0.244,37.3,0.95,-0.025,-4.0,-22.2,15.73
4h,15m,london,3,1,True,top,fixed2r,78,0.121,47.4,1.51,0.296,23.1,-7.7,14.57
4h,15m,london,3,1,True,top,exit3,78,0.121,47.4,1.45,0.2,15.6,-5.7,14.57
4h,15m,london,3,1,True,mid,fixed2r,81,0.125,45.7,1.4,0.244,19.8,-7.9,14.87
4h,15m,london,3,1,True,mid,exit3,81,0.125,45.7,1.44,0.189,15.3,-4.6,14.87
4h,15m,london,3,2,False,top,fixed2r,125,0.193,36.8,0.96,-0.026,-3.2,-23.3,14.86
4h,15m,london,3,2,False,top,exit3,125,0.193,36.8,0.9,-0.058,-7.2,-19.3,14.86
4h,15m,london,3,2,False,mid,fixed2r,129,0.199,34.9,0.89,-0.081,-10.4,-29.1,15.6
4h,15m,london,3,2,False,mid,exit3,129,0.199,34.9,0.86,-0.077,-9.9,-24.6,15.6
4h,15m,london,3,2,True,top,fixed2r,63,0.097,47.6,1.5,0.292,18.4,-6.3,14.54
4h,15m,london,3,2,True,top,exit3,63,0.097,47.6,1.44,0.196,12.4,-5.5,14.54
4h,15m,london,3,2,True,mid,fixed2r,67,0.104,44.8,1.34,0.209,14.0,-6.9,14.87
4h,15m,london,3,2,True,mid,exit3,67,0.104,44.8,1.37,0.164,11.0,-5.4,14.87
4h,15m,asia,1,1,False,top,fixed2r,100,0.155,39.0,0.97,-0.019,-1.9,-17.0,14.54
4h,15m,asia,1,1,False,top,exit3,100,0.155,38.0,0.89,-0.064,-6.4,-13.1,14.54
4h,15m,asia,1,1,False,mid,fixed2r,102,0.158,39.2,1.02,0.016,1.7,-20.2,14.91
